IRI,Similarity
https://www.irit.fr/recherches/MELODI/ontologies/BBO#HumanResource,0.8877
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Agent,0.8613
https://www.irit.fr/recherches/MELODI/ontologies/BBO#SoftwareResource,0.8604
https://www.irit.fr/recherches/MELODI/ontologies/BBO#WorkProcedureDocument,0.8546
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Enterprise,0.8503
https://www.irit.fr/recherches/MELODI/ontologies/BBO#ResourceCollection,0.8502
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Process,0.8462
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Group,0.8460
https://www.irit.fr/recherches/MELODI/ontologies/BBO#EquipmentDraw,0.8432
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Escalation,0.8418
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Activity,0.8416
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Tool,0.8407
https://www.irit.fr/recherches/MELODI/ontologies/BBO#ManufacturingFacility,0.8404
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Component,0.8392
https://www.irit.fr/recherches/MELODI/ontologies/BBO#EscalationEventDefinition,0.8390
https://www.irit.fr/recherches/MELODI/ontologies/BBO#SubProcess,0.8389
https://www.irit.fr/recherches/MELODI/ontologies/BBO#supports,0.8382
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Person,0.8380
https://www.irit.fr/recherches/MELODI/ontologies/BBO#FlowElement,0.8364
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Transaction,0.8347
