IRI,Similarity
https://gpo.ontology.link/GPO_1880a2e6_0c9f_425a_9615_d4bdf121215f,0.6886
http://emmo.info/emmo#EMMO_8a70dea4_d6ab_4260_b931_a3e990982416,0.6354
https://gpo.ontology.link/GPO_aa602472_ba16_4375_b8b3_868f84324ec7,0.6352
https://gpo.ontology.link/GPO_ee8c37fd_9f2c_4047_b25d_4149894bd7c0,0.6298
http://emmo.info/emmo#EMMO_31ec09ba_1713_42cb_83c7_b38bf6f9ced2,0.6220
https://gpo.ontology.link/GPO_01cd2578_8730_4ac9_a555_9112728ea939,0.5906
http://emmo.info/emmo#EMMO_a979c531_f9fa_4a6e_93c1_a2960241ca64,0.5758
http://emmo.info/emmo#EMMO_b432d2d5_25f4_4165_99c5_5935a7763c1a,0.5732
http://emmo.info/emmo#EMMO_04cf0295_3e8f_4693_a87f_3130d125cf05,0.5608
http://emmo.info/emmo#EMMO_aaf9dd7f_0474_40d0_9606_02def8515249,0.5558
http://emmo.info/emmo#EMMO_0f6f0120_c079_4d95_bb11_4ddee05e530e,0.5510
http://emmo.info/emmo#EMMO_17e27c22_37e1_468c_9dd7_95e137f73e7f,0.5459
http://emmo.info/emmo#EMMO_080052a1_f295_44be_a60f_1326ce13f1ba,0.5457
http://emmo.info/emmo#EMMO_4091d5ec_a4df_42b9_a073_9a090839279f,0.5450
https://gpo.ontology.link/GPO_2680e8c9_b5d0_4d50_9a33_52e4270669d8,0.5400
http://emmo.info/emmo#EMMO_12d4ba9b_2f89_4ea3_b206_cd376f96c875,0.5375
http://emmo.info/emmo#EMMO_35c29eb6_f57e_48d8_85af_854f9e926e77,0.5340
http://emmo.info/emmo#EMMO_82fc8506_1f84_4add_9683_abea077bd1e3,0.5315
http://emmo.info/emmo#EMMO_43e9a05d_98af_41b4_92f6_00f79a09bfce,0.5118
http://emmo.info/emmo#EMMO_314d0bd5_67ed_437e_a609_36d46147cea7,0.5088
http://emmo.info/emmo#EMMO_e46f3f24_c2ec_4552_8dd4_cfc5c0a89c09,0.5052
http://emmo.info/emmo#EMMO_d4f7d378_5e3b_468a_baa1_a7e98358cda7,0.5049
http://emmo.info/emmo#EMMO_88fc5d1b_d3ab_4626_b24c_915ebe7400ca,0.5023
http://emmo.info/emmo#EMMO_d64920b5_acd0_4e29_893e_ae03b3d7cdaf,0.4967
http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,0.4964
http://emmo.info/emmo#EMMO_463bcfda_867b_41d9_a967_211d4d437cfb,0.4941
http://emmo.info/emmo#EMMO_c4bace1d_4db0_4cd3_87e9_18122bae2840,0.4880
http://emmo.info/emmo#EMMO_4d2ca841_6cb1_4710_a756_5b989746bca2,0.4865
http://emmo.info/emmo#EMMO_67fc0a36_8dcb_4ffa_9a43_31074efa3296,0.4813
http://emmo.info/emmo#EMMO_8ef3cd6d_ae58_4a8d_9fc0_ad8f49015cd0,0.4793
http://emmo.info/emmo#EMMO_e5438930_04e7_4d42_ade5_3700d4a52ab7,0.4769
http://emmo.info/emmo#EMMO_43776fc9_d712_4571_85f0_72183678039a,0.4756
http://emmo.info/emmo#EMMO_9bbab0be_f9cc_4f46_9f46_0fd271911b79,0.4741
http://emmo.info/emmo#EMMO_81e767f1_59b1_4d7a_bf69_17f322241831,0.4711
http://emmo.info/emmo#EMMO_d8aa8e1f_b650_416d_88a0_5118de945456,0.4669
http://emmo.info/emmo#EMMO_d1d436e7_72fc_49cd_863b_7bfb4ba5276a,0.4665
http://emmo.info/emmo#EMMO_06448f64_8db6_4304_8b2c_e785dba82044,0.4639
http://emmo.info/emmo#EMMO_49804605_c0fe_4538_abda_f70ba1dc8a5d,0.4636
http://emmo.info/emmo#EMMO_2a888cdf_ec4a_4ec5_af1c_0343372fc978,0.4602
http://emmo.info/emmo#EMMO_847724b7_acef_490e_9f0d_67da967f2812,0.4586
http://emmo.info/emmo#EMMO_e150fa8d_06dc_4bb8_bf95_04e2aea529c1,0.4579
http://emmo.info/emmo#EMMO_6f5af708_f825_4feb_a0d1_a8d813d3022b,0.4567
http://emmo.info/emmo#EMMO_6786b336_e982_4759_8dee_1905a4106591,0.4559
http://emmo.info/emmo#EMMO_705f27ae_954c_4f13_98aa_18473fc52b25,0.4550
http://emmo.info/emmo#EMMO_92b2fb85_2143_4bc7_bbca_df3e6944bfc1,0.4527
http://emmo.info/emmo#EMMO_da831168_975a_41f8_baae_279c298569da,0.4515
http://emmo.info/emmo#EMMO_4f226cf3_6d02_4d35_8566_a9e641bc6ff3,0.4505
http://emmo.info/emmo#EMMO_696ed548_9477_45ea_993c_6a8f5271914a,0.4498
http://emmo.info/emmo#EMMO_66d01570_36dd_42fd_844d_29b81b029cd5,0.4489
http://emmo.info/emmo#EMMO_53e5b1e1_6026_4ddc_8a4a_3aaaa5fdbdb7,0.4454
http://emmo.info/emmo#EMMO_6e0664f2_4d4d_4407_bf60_e1b3c07198d7,0.4440
http://emmo.info/emmo#EMMO_acb50123_87a2_4753_b36c_f87114ad4de2,0.4355
http://emmo.info/emmo#EMMO_909415d1_7c43_4d5e_bbeb_7e1910159f66,0.4330
http://emmo.info/emmo#EMMO_a80dc6f5_b1aa_41a7_a3a8_cd5040da2162,0.4329
http://emmo.info/emmo#EMMO_ba882f34_0d71_4e4f_9d92_0c076c633a2c,0.4321
http://emmo.info/emmo#EMMO_e04884d9_eda6_487e_93d5_7722d7eda96b,0.4309
https://gpo.ontology.link/GPO_b03e856b_3316_422f_99f3_af4c96fd406a,0.4306
http://emmo.info/emmo#EMMO_985bec21_989f_4b9e_a4b3_735d88099c3c,0.4306
http://emmo.info/emmo#EMMO_79a02de5_b884_4eab_bc18_f67997d597a2,0.4269
http://emmo.info/emmo#EMMO_33b67e69_3645_4c73_b100_5ea6759221b4,0.4254
http://emmo.info/emmo#EMMO_d5be1faf_0c56_4f5a_9b78_581e6dee949f,0.4241
http://emmo.info/emmo#EMMO_c74da218_9147_4f03_92d1_8894abca55f3,0.4239
http://emmo.info/emmo#EMMO_0a88be81_343d_4388_92c1_09228ff95ada,0.4236
http://emmo.info/emmo#EMMO_7afbed84_7593_4a23_bd88_9d9c6b04e8f6,0.4233
http://emmo.info/emmo#EMMO_b9695e87_8261_412e_83cd_a86459426a28,0.4228
http://emmo.info/emmo#EMMO_59c10c5c_47bd_4348_ba39_38836607dfa1,0.4228
http://emmo.info/emmo#EMMO_b4895f75_41c8_4fd9_b6d6_4d5f7c99c423,0.4222
http://emmo.info/emmo#EMMO_09663630_1b84_4202_91e6_e641104f579e,0.4219
http://emmo.info/emmo#EMMO_f68030be_94b8_4c61_a161_886468558054,0.4207
http://emmo.info/emmo#EMMO_6703954e_34c4_4a15_a9e7_f313760ae1a8,0.4202
http://emmo.info/emmo#EMMO_668fbd5b_6f1b_405c_9c6b_d6067bd0595a,0.4201
http://emmo.info/emmo#EMMO_e56ee3eb_7609_4ae1_8bed_51974f0960a6,0.4196
http://emmo.info/emmo#EMMO_4b3afb22_27cf_4ce3_88bc_492bfccb546b,0.4178
http://emmo.info/emmo#EMMO_c5ddfdba_c074_4aa4_ad6b_1ac4942d300d,0.4175
http://emmo.info/emmo#EMMO_dd4a7f3e_ef56_466c_ac1a_d2716b5f87ec,0.4168
http://emmo.info/emmo#EMMO_f658c301_ce93_46cf_9639_4eace2c5d1d5,0.4167
http://emmo.info/emmo#EMMO_ae2d1a96_bfa1_409a_a7d2_03d69e8a125a,0.4139
http://emmo.info/emmo#EMMO_707c6032_e272_4a20_98b5_d35c4f67be68,0.4136
http://emmo.info/emmo#EMMO_e2207e91_02b0_4a8a_b13e_61d2a2a839f1,0.4127
http://emmo.info/emmo#EMMO_649bf97b_4397_4005_90d9_219755d92e34,0.4102
http://emmo.info/emmo#EMMO_967080e5_2f42_4eb2_a3a9_c58143e835f9,0.4100
http://emmo.info/emmo#EMMO_1aed91a3_d00c_48af_8f43_a0c958b2512a,0.4084
http://emmo.info/emmo#EMMO_cde4368c_1d4d_4c94_8548_604749523c6d,0.4073
http://emmo.info/emmo#EMMO_44fc8c60_7a9c_49af_a046_e1878c88862c,0.4045
http://emmo.info/emmo#EMMO_4bc29b0f_8fcc_4026_a291_f9774a66d9b8,0.4042
http://emmo.info/emmo#EMMO_17b031fb_4695_49b6_bb69_189ec63df3ee,0.4038
http://emmo.info/emmo#EMMO_0ee5779e_d798_4ee5_9bfe_c392d5bea112,0.4032
http://emmo.info/emmo#EMMO_0e030040_98a7_49b2_a871_dced1f3a6131,0.4029
http://emmo.info/emmo#EMMO_98d65021_4574_4890_b2fb_46430841077f,0.4021
http://emmo.info/emmo#EMMO_d41ce84b_4317_41fb_a5d1_6cd281fca106,0.4016
http://emmo.info/emmo#EMMO_c46f091c_0420_4c1a_af30_0a2c8ebcf7d7,0.4006
http://emmo.info/emmo#EMMO_bb49844b_45d7_4f0d_8cae_8e552cbc20d6,0.4003
