IRI,Similarity
http://purl.obolibrary.org/obo/RO_0002353,0.6107
http://purl.obolibrary.org/obo/RO_0002352,0.5890
http://w3id.org/nfdi4ing/metadata4ing#UsageInstruction,0.5426
http://purl.obolibrary.org/obo/RO_0002234,0.5343
http://w3id.org/nfdi4ing/metadata4ing#isEmployedToolIn,0.5302
http://purl.obolibrary.org/obo/BFO_0000015,0.5194
http://w3id.org/nfdi4ing/metadata4ing#hasEmployedTool,0.5191
http://www.molmod.info/semantics/pims-ii.ttl#Property,0.5144
http://purl.obolibrary.org/obo/RO_0002233,0.5139
http://w3id.org/nfdi4ing/metadata4ing#realizesMethod,0.4968
http://www.w3.org/ns/prov#qualifiedAssociation,0.4931
http://purl.obolibrary.org/obo/RO_0000057,0.4861
http://purl.obolibrary.org/obo/RO_0000056,0.4702
http://w3id.org/nfdi4ing/metadata4ing#KindOfQuantity,0.4637
http://www.w3.org/ns/prov#Activity,0.4572
http://purl.obolibrary.org/obo/BFO_0000063,0.4353
http://purl.obolibrary.org/obo/RO_0002224,0.4305
https://schema.org/Intangible,0.4168
https://ptb.de/si/ExpandedUnc,0.4143
http://purl.obolibrary.org/obo/RO_0002230,0.4070
