IRI,Similarity
http://purl.obolibrary.org/obo/IAO_0000003,0.5560
http://purl.obolibrary.org/obo/IAO_0000039,0.5443
http://purl.obolibrary.org/obo/OBI_0000437,0.4990
http://purl.obolibrary.org/obo/IAO_0000584,0.4948
http://purl.obolibrary.org/obo/IAO_0000004,0.4880
http://purl.obolibrary.org/obo/IAO_0000032,0.4592
http://purl.obolibrary.org/obo/IAO_0000109,0.4502
http://purl.obolibrary.org/obo/OBI_0400137,0.4344
http://purl.obolibrary.org/obo/IAO_0000112,0.4338
http://purl.obolibrary.org/obo/IAO_0000583,0.4310
http://purl.obolibrary.org/obo/STATO_0000685,0.4276
http://purl.obolibrary.org/obo/IAO_0000416,0.4149
