IRI,Similarity
https://gpo.ontology.link/GPO_1880a2e6_0c9f_425a_9615_d4bdf121215f,0.5740
https://gpo.ontology.link/GPO_ee8c37fd_9f2c_4047_b25d_4149894bd7c0,0.5669
http://emmo.info/emmo#EMMO_d8aa8e1f_b650_416d_88a0_5118de945456,0.5602
https://gpo.ontology.link/GPO_2680e8c9_b5d0_4d50_9a33_52e4270669d8,0.5317
http://emmo.info/emmo#EMMO_251cfb4f_5c75_4778_91ed_6c8395212fd8,0.4614
http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,0.4561
http://emmo.info/emmo#EMMO_909415d1_7c43_4d5e_bbeb_7e1910159f66,0.4537
https://gpo.ontology.link/GPO_aa602472_ba16_4375_b8b3_868f84324ec7,0.4443
http://emmo.info/emmo#EMMO_ba882f34_0d71_4e4f_9d92_0c076c633a2c,0.4436
http://emmo.info/emmo#EMMO_8a70dea4_d6ab_4260_b931_a3e990982416,0.4372
http://emmo.info/emmo#EMMO_b432d2d5_25f4_4165_99c5_5935a7763c1a,0.4308
http://emmo.info/emmo#EMMO_82fc8506_1f84_4add_9683_abea077bd1e3,0.4294
http://emmo.info/emmo#EMMO_d64920b5_acd0_4e29_893e_ae03b3d7cdaf,0.4237
http://emmo.info/emmo#EMMO_88fc5d1b_d3ab_4626_b24c_915ebe7400ca,0.4175
http://emmo.info/emmo#EMMO_2a888cdf_ec4a_4ec5_af1c_0343372fc978,0.4172
http://emmo.info/emmo#EMMO_31ec09ba_1713_42cb_83c7_b38bf6f9ced2,0.4147
http://emmo.info/emmo#EMMO_080052a1_f295_44be_a60f_1326ce13f1ba,0.4119
