IRI,Similarity
https://w3id.org/pmd/co/Process,0.6792
https://w3id.org/pmd/co/process,0.6541
https://w3id.org/pmd/co/nextProcess,0.5745
https://w3id.org/pmd/co/ProcessDescription,0.5726
https://w3id.org/pmd/co/ProcessIdentifier,0.5647
https://w3id.org/pmd/co/subordinateProcess,0.5341
https://w3id.org/pmd/co/input,0.5245
https://w3id.org/pmd/co/MeasuringProcess,0.5222
https://w3id.org/pmd/co/ManufacturingProcess,0.5200
https://w3id.org/pmd/co/ProcessingNode,0.5058
https://w3id.org/pmd/co/output,0.4981
https://w3id.org/pmd/co/previousProcess,0.4970
https://w3id.org/pmd/co/Medium,0.4947
https://w3id.org/pmd/co/superordinateProcess,0.4858
https://w3id.org/pmd/co/Object,0.4817
https://w3id.org/pmd/co/executes,0.4717
https://w3id.org/pmd/co/AnalysingProcess,0.4549
https://w3id.org/pmd/co/Filter,0.4466
https://w3id.org/pmd/co/AssemblingProcess,0.4466
https://w3id.org/pmd/co/MediaMovement,0.4418
https://w3id.org/pmd/co/AgingProcess,0.4404
https://w3id.org/pmd/co/belongsToProject,0.4383
https://w3id.org/pmd/co/ConditioningProcess,0.4347
https://w3id.org/pmd/co/TestingMachine,0.4305
https://w3id.org/pmd/co/OperatorRole,0.4199
https://w3id.org/pmd/co/DemountingProcess,0.4142
https://w3id.org/pmd/co/ClassificationDocument,0.4068
https://w3id.org/pmd/co/MountingProcess,0.4034
