IRI,Similarity
http://purl.obolibrary.org/obo/RO_0000081,0.5624
http://purl.obolibrary.org/obo/BFO_0000023,0.5593
http://purl.obolibrary.org/obo/RO_0000087,0.5330
http://purl.obolibrary.org/obo/BFO_0000015,0.4861
http://purl.obolibrary.org/obo/IAO_0000310,0.4770
http://purl.obolibrary.org/obo/OBI_0000086,0.4442
http://purl.obolibrary.org/obo/OBI_0000011,0.4265
http://purl.obolibrary.org/obo/OBI_0000112,0.4245
http://purl.obolibrary.org/obo/OBI_0000067,0.4227
http://purl.obolibrary.org/obo/IAO_0000572,0.4193
http://purl.obolibrary.org/obo/IAO_0000078,0.4174
