IRI,Similarity
http://www.w3.org/ns/prov#Role,0.6847
https://schema.org/Project,0.6749
http://w3id.org/nfdi4ing/metadata4ing#projectParticipant,0.6330
http://w3id.org/nfdi4ing/metadata4ing#ProjectManager,0.6283
http://w3id.org/nfdi4ing/metadata4ing#ProjectLeader,0.6279
http://w3id.org/nfdi4ing/metadata4ing#inProject,0.6234
http://w3id.org/nfdi4ing/metadata4ing#endOfProject,0.6018
http://purl.obolibrary.org/obo/BFO_0000015,0.5948
http://purl.obolibrary.org/obo/RO_0002234,0.5910
http://w3id.org/nfdi4ing/metadata4ing#UsageInstruction,0.5904
http://w3id.org/nfdi4ing/metadata4ing#ProjectMember,0.5891
https://schema.org/ResearchProject,0.5670
http://w3id.org/nfdi4ing/metadata4ing#Supervisor,0.5634
http://purl.obolibrary.org/obo/RO_0002352,0.5618
http://w3id.org/nfdi4ing/metadata4ing#hasVariable,0.5570
http://purl.obolibrary.org/obo/RO_0002233,0.5567
http://w3id.org/nfdi4ing/metadata4ing#startOfProject,0.5550
http://w3id.org/nfdi4ing/metadata4ing#hasAssignedValue,0.5247
http://www.w3.org/ns/prov#qualifiedAssociation,0.5214
http://www.w3.org/ns/prov#Activity,0.5167
http://w3id.org/nfdi4ing/metadata4ing#Sponsor,0.5166
http://purl.obolibrary.org/obo/RO_0002353,0.5155
http://w3id.org/nfdi4ing/metadata4ing#Producer,0.5069
http://w3id.org/nfdi4ing/metadata4ing#RelatedPerson,0.5067
http://w3id.org/nfdi4ing/metadata4ing#hasEmployedTool,0.5061
http://purl.org/dc/terms/title,0.5060
http://w3id.org/nfdi4ing/metadata4ing#ResearchGroup,0.5056
https://schema.org/funder,0.5053
http://w3id.org/nfdi4ing/metadata4ing#Other,0.5009
http://www.molmod.info/semantics/pims-ii.ttl#Property,0.5006
http://purl.obolibrary.org/obo/RO_0000056,0.5002
http://purl.obolibrary.org/obo/RO_0000057,0.4997
http://w3id.org/nfdi4ing/metadata4ing#realizesMethod,0.4980
http://w3id.org/nfdi4ing/metadata4ing#DataCollector,0.4952
http://w3id.org/nfdi4ing/metadata4ing#Editor,0.4930
http://www.w3.org/ns/prov#hadRole,0.4913
http://w3id.org/nfdi4ing/metadata4ing#investigatesProperty,0.4896
https://schema.org/affiliation,0.4875
http://www.w3.org/ns/dcat#Dataset,0.4864
http://purl.org/dc/terms/isReferencedBy,0.4864
http://w3id.org/nfdi4ing/metadata4ing#RightsHolder,0.4859
http://www.w3.org/ns/prov#agent,0.4853
https://schema.org/Intangible,0.4826
http://w3id.org/nfdi4ing/metadata4ing#Distributor,0.4817
http://w3id.org/nfdi4ing/metadata4ing#isEmployedToolIn,0.4816
http://w3id.org/nfdi4ing/metadata4ing#Tool,0.4812
http://w3id.org/nfdi4ing/metadata4ing#RegistrationAgency,0.4811
http://www.w3.org/ns/prov#Association,0.4793
http://w3id.org/nfdi4ing/metadata4ing#ProcessingStep,0.4714
http://purl.org/dc/terms/references,0.4709
http://emmo.info/emmo#EMMO_b081b346_7279_46ef_9a3d_2c088fcd79f4,0.4707
http://purl.obolibrary.org/obo/RO_0002230,0.4621
http://www.w3.org/ns/dcat#DatasetSeries,0.4616
http://www.w3.org/ns/dcat#Distribution,0.4607
http://www.w3.org/ns/ssn/hasProperty,0.4604
http://w3id.org/nfdi4ing/metadata4ing#DataManager,0.4604
http://w3id.org/nfdi4ing/metadata4ing#identifier,0.4603
http://www.molmod.info/semantics/pims-ii.ttl#Assignment,0.4553
http://purl.obolibrary.org/obo/RO_0002224,0.4541
https://ptb.de/si/Real,0.4535
http://www.w3.org/ns/dcat#packageFormat,0.4533
http://w3id.org/nfdi4ing/metadata4ing#hasAssignmentTimestamp,0.4517
http://purl.obolibrary.org/obo/BFO_0000050,0.4503
http://purl.org/dc/terms/description,0.4502
http://w3id.org/nfdi4ing/metadata4ing#Researcher,0.4501
http://www.w3.org/ns/ssn/isPropertyOf,0.4496
http://purl.obolibrary.org/obo/BFO_0000051,0.4496
http://w3id.org/nfdi4ing/metadata4ing#projectReferenceID,0.4487
http://www.molmod.info/semantics/pims-ii.ttl#QuantityValue,0.4478
http://w3id.org/nfdi4ing/metadata4ing#HostingInstitution,0.4467
http://w3id.org/nfdi4ing/metadata4ing#KindOfQuantity,0.4460
http://w3id.org/nfdi4ing/metadata4ing#WorkPackageLeader,0.4416
http://purl.obolibrary.org/obo/BFO_0000063,0.4410
http://www.molmod.info/semantics/pims-ii.ttl#Value,0.4359
http://w3id.org/nfdi4ing/metadata4ing#NumericalAssignment,0.4325
https://ptb.de/si/hasStandardUnc,0.4320
http://w3id.org/nfdi4ing/metadata4ing#hasAdmissibleUnit,0.4309
http://w3id.org/nfdi4ing/metadata4ing#investigates,0.4198
http://w3id.org/nfdi4ing/metadata4ing#hasUnit,0.4175
http://w3id.org/nfdi4ing/metadata4ing#Method,0.4171
http://w3id.org/nfdi4ing/metadata4ing#hasAdmissibleValue,0.4169
http://www.w3.org/ns/dcat#compressFormat,0.4150
http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentCreated,0.4140
http://w3id.org/nfdi4ing/metadata4ing#hasRorId,0.4137
http://w3id.org/nfdi4ing/metadata4ing#hasRuntimeAssignment,0.4126
http://w3id.org/nfdi4ing/metadata4ing#UncertaintyDeclaration,0.4112
https://ptb.de/si/hasCoverageFactor,0.4106
http://www.molmod.info/semantics/pims-ii.ttl#isVariableInAssignment,0.4100
http://purl.org/spar/biro/BibliographicRecord,0.4083
http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentValidFrom,0.4047
http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentModified,0.4044
http://w3id.org/nfdi4ing/metadata4ing#hasParameter,0.4036
http://www.molmod.info/semantics/pims-ii.ttl#isValueInAssignment,0.4021
http://w3id.org/nfdi4ing/metadata4ing#hasVariableDescription,0.4001
