IRI,Similarity
http://www.opmw.org/ontology/ParameterVariable,0.6428
http://www.opmw.org/ontology/versionNumber,0.5670
http://www.opmw.org/ontology/isConcrete,0.5544
http://www.opmw.org/ontology/hasExecutionDiagram,0.5496
http://www.opmw.org/ontology/hasStatus,0.5449
http://www.opmw.org/ontology/hasExecutableComponent,0.5331
http://www.opmw.org/ontology/correspondsToTemplateProcess,0.5324
http://www.opmw.org/ontology/DataVariable,0.5245
http://www.opmw.org/ontology/hasOriginalLogFile,0.5170
http://www.opmw.org/ontology/hasFileName,0.5170
http://www.opmw.org/ontology/WorkflowExecutionProcess,0.5018
http://www.opmw.org/ontology/hasLocation,0.4933
http://www.opmw.org/ontology/hasSize,0.4925
http://www.opmw.org/ontology/hasValue,0.4912
http://www.opmw.org/ontology/WorkflowTemplateProcess,0.4841
http://www.opmw.org/ontology/WorkflowExecutionAccount,0.4817
http://www.opmw.org/ontology/correspondsToTemplateArtifact,0.4752
http://www.opmw.org/ontology/hasDimensionality,0.4688
http://www.opmw.org/ontology/executedInWorkflowSystem,0.4683
http://www.opmw.org/ontology/correspondsToTemplate,0.4667
http://www.opmw.org/ontology/isGeneratedBy,0.4651
http://www.opmw.org/ontology/uses,0.4604
http://www.opmw.org/ontology/WorkflowExecutionArtifact,0.4595
http://www.opmw.org/ontology/hasNativeSystemTemplate,0.4504
http://www.opmw.org/ontology/hasDocumentation,0.4490
http://www.opmw.org/ontology/WorkflowTemplate,0.4424
http://www.opmw.org/ontology/hasTemplateDiagram,0.4405
http://www.opmw.org/ontology/createdInWorkflowSystem,0.4027
