IRI,Similarity
http://purl.obolibrary.org/obo/BFO_0000015,0.6168
http://purl.obolibrary.org/obo/OBI_0000011,0.5582
http://purl.obolibrary.org/obo/STATO_0000459,0.5308
http://purl.obolibrary.org/obo/IAO_0000115,0.5186
http://purl.obolibrary.org/obo/OBI_0500006,0.5183
http://purl.obolibrary.org/obo/BFO_0000063,0.5111
http://purl.obolibrary.org/obo/IAO_0000119,0.5011
http://purl.obolibrary.org/obo/OBI_0000047,0.4969
http://purl.obolibrary.org/obo/STATO_0000408,0.4782
http://purl.obolibrary.org/obo/OBI_0400044,0.4781
http://purl.obolibrary.org/obo/STATO_0000382,0.4780
http://purl.obolibrary.org/obo/STATO_0000111,0.4709
http://purl.obolibrary.org/obo/OBI_0400043,0.4685
http://purl.obolibrary.org/obo/BFO_0000062,0.4647
http://purl.obolibrary.org/obo/STATO_0000540,0.4638
http://purl.obolibrary.org/obo/STATO_0000367,0.4542
http://purl.obolibrary.org/obo/STATO_0000190,0.4493
http://purl.obolibrary.org/obo/BFO_0000054,0.4492
http://purl.obolibrary.org/obo/OBI_0000113,0.4475
http://purl.obolibrary.org/obo/IAO_0000407,0.4457
http://purl.obolibrary.org/obo/OBI_0200166,0.4446
http://purl.obolibrary.org/obo/BFO_0000004,0.4388
http://purl.obolibrary.org/obo/IAO_0000121,0.4386
http://purl.obolibrary.org/obo/STATO_0000449,0.4379
http://purl.obolibrary.org/obo/STATO_0000112,0.4344
http://purl.obolibrary.org/obo/STATO_0000476,0.4239
http://purl.obolibrary.org/obo/OBI_0000427,0.4233
http://purl.obolibrary.org/obo/OBI_0000094,0.4225
http://purl.obolibrary.org/obo/OBI_0000456,0.4205
http://purl.obolibrary.org/obo/IAO_0000309,0.4189
http://purl.obolibrary.org/obo/STATO_0000405,0.4179
http://purl.obolibrary.org/obo/BFO_0000050,0.4171
http://purl.obolibrary.org/obo/IAO_0000039,0.4127
http://purl.obolibrary.org/obo/STATO_0000205,0.4127
http://purl.obolibrary.org/obo/BFO_0000003,0.4127
http://purl.obolibrary.org/obo/STATO_0000460,0.4108
http://purl.obolibrary.org/obo/STATO_0000448,0.4098
http://purl.obolibrary.org/obo/IAO_0000308,0.4096
http://purl.obolibrary.org/obo/STATO_0000239,0.4095
http://purl.obolibrary.org/obo/RO_0000058,0.4094
http://purl.obolibrary.org/obo/STATO_0000462,0.4091
http://purl.obolibrary.org/obo/STATO_0000365,0.4090
http://purl.obolibrary.org/obo/STATO_0000067,0.4087
http://purl.obolibrary.org/obo/STATO_0000463,0.4061
http://purl.obolibrary.org/obo/STATO_0000357,0.4047
http://purl.obolibrary.org/obo/OBI_0200000,0.4047
http://purl.obolibrary.org/obo/BFO_0000141,0.4046
http://purl.obolibrary.org/obo/STATO_0000466,0.4041
http://purl.obolibrary.org/obo/OBI_0600047,0.4041
http://purl.obolibrary.org/obo/STATO_0000346,0.4039
http://purl.obolibrary.org/obo/OBI_0000973,0.4013
http://purl.obolibrary.org/obo/STATO_0000461,0.4004
