IRI,Similarity
http://purls.helmholtz-metadaten.de/mwo/MWO_0001051,0.9094
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010028,0.8959
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010030,0.8937
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001002,0.8888
http://purls.helmholtz-metadaten.de/mwo/MWO_0001030,0.8876
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010029,0.8817
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010038,0.8814
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010037,0.8790
http://purl.obolibrary.org/obo/BFO_0000015,0.8780
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010033,0.8773
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000227,0.8751
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000153,0.8732
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041,0.8723
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010035,0.8705
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010036,0.8685
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039,0.8670
http://purls.helmholtz-metadaten.de/mwo/MWO_0001093,0.8664
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010031,0.8662
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001023,0.8661
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010034,0.8632
