IRI,Similarity
http://www.opmw.org/ontology/WorkflowTemplateProcess,0.8699
http://www.opmw.org/ontology/DataVariable,0.8670
http://www.opmw.org/ontology/hasExecutionDiagram,0.8641
http://www.opmw.org/ontology/WorkflowTemplate,0.8638
http://www.opmw.org/ontology/hasTemplateDiagram,0.8637
http://www.opmw.org/ontology/WorkflowExecutionProcess,0.8636
http://www.opmw.org/ontology/WorkflowTemplateArtifact,0.8630
http://www.opmw.org/ontology/ParameterVariable,0.8607
http://www.opmw.org/ontology/WorkflowExecutionArtifact,0.8580
http://www.opmw.org/ontology/correspondsToTemplateProcess,0.8577
http://www.opmw.org/ontology/WorkflowExecutionAccount,0.8525
http://www.opmw.org/ontology/correspondsToTemplateArtifact,0.8394
http://www.opmw.org/ontology/hasExecutableComponent,0.8378
http://www.opmw.org/ontology/createdInWorkflowSystem,0.8374
http://www.opmw.org/ontology/correspondsToTemplate,0.8344
http://www.opmw.org/ontology/executedInWorkflowSystem,0.8343
http://www.opmw.org/ontology/uses,0.8334
http://www.opmw.org/ontology/hasNativeSystemTemplate,0.8303
http://www.opmw.org/ontology/hasSize,0.8292
http://www.opmw.org/ontology/hasOriginalLogFile,0.8262
