IRI,Similarity
https://w3id.org/pko#ExpertiseLevel,0.8697
https://w3id.org/pko#Action,0.8648
https://w3id.org/pko#UserQuestionOccurrence,0.8568
https://w3id.org/pko#ProcedureStatus,0.8566
https://w3id.org/pko#wasConfirmedBy,0.8548
https://w3id.org/pko#wasExecutedBy,0.8543
https://w3id.org/pko#Function,0.8543
https://w3id.org/pko#wasModifiedBy,0.8507
https://w3id.org/pko#feedbackOnProcedure,0.8492
https://w3id.org/pko#requiresAction,0.8482
https://w3id.org/pko#wasEncounteredBy,0.8479
https://w3id.org/pko#isAdoptedBy,0.8470
https://w3id.org/pko#feedbackOnProcedureExecution,0.8463
https://w3id.org/pko#wasProvidedBy,0.8445
https://w3id.org/pko#Procedure,0.8439
https://w3id.org/pko#hasStep,0.8435
https://w3id.org/pko#requiresFunction,0.8417
https://w3id.org/pko#requiresTool,0.8414
https://w3id.org/pko#hasEncounteredError,0.8412
https://w3id.org/pko#hasExpectedDuration,0.8412
