IRI,Similarity
https://w3id.org/pmd/co/PMD_0020144,0.8406
https://w3id.org/pmd/co/PMD_0000015,0.6965
https://w3id.org/pmd/co/PMD_0000008,0.6234
https://w3id.org/pmd/co/PMD_0000006,0.6196
https://w3id.org/pmd/co/PMD_0000016,0.6189
http://purl.obolibrary.org/obo/BFO_0000030,0.6159
http://purl.obolibrary.org/obo/BFO_0000019,0.6115
https://w3id.org/pmd/co/PMD_0020145,0.6011
http://purl.obolibrary.org/obo/BFO_0000015,0.6002
https://w3id.org/pmd/co/PMD_0020005,0.5976
https://w3id.org/pmd/co/PMD_0000833,0.5947
https://w3id.org/pmd/co/PMD_0060000,0.5848
https://w3id.org/pmd/co/PMD_0020101,0.5801
http://purl.obolibrary.org/obo/BFO_0000001,0.5788
https://w3id.org/pmd/co/PMD_0000009,0.5749
https://w3id.org/pmd/co/PMD_0040001,0.5646
https://w3id.org/pmd/co/PMD_0000621,0.5640
https://w3id.org/pmd/co/PMD_0000000,0.5615
https://w3id.org/pmd/co/PMD_0000511,0.5517
http://purl.obolibrary.org/obo/BFO_0000145,0.5517
https://w3id.org/pmd/co/PMD_0020132,0.5507
http://purl.obolibrary.org/obo/IAO_0000221,0.5484
https://w3id.org/pmd/co/PMD_0000600,0.5464
http://purl.obolibrary.org/obo/BFO_0000057,0.5454
https://w3id.org/pmd/co/PMD_0000964,0.5442
https://w3id.org/pmd/co/PMD_0000620,0.5433
https://w3id.org/pmd/co/PMD_0020142,0.5422
https://w3id.org/pmd/co/PMD_0000967,0.5422
https://w3id.org/pmd/co/PMD_0000978,0.5407
https://w3id.org/pmd/co/PMD_0000847,0.5388
https://w3id.org/pmd/co/PMD_0000825,0.5378
https://w3id.org/pmd/co/PMD_0000787,0.5376
https://w3id.org/pmd/co/PMD_0000017,0.5375
https://w3id.org/pmd/co/PMD_0000602,0.5372
https://w3id.org/pmd/co/PMD_0020152,0.5371
https://w3id.org/pmd/co/PMD_0020143,0.5349
https://w3id.org/pmd/co/PMD_0000832,0.5334
https://w3id.org/pmd/co/PMD_0000523,0.5334
http://purl.obolibrary.org/obo/BFO_0000055,0.5332
https://w3id.org/pmd/co/PMD_0000911,0.5305
https://w3id.org/pmd/co/PMD_0000927,0.5304
http://purl.obolibrary.org/obo/IAO_0000417,0.5273
http://purl.obolibrary.org/obo/IAO_0000030,0.5252
http://purl.obolibrary.org/obo/BFO_0000040,0.5246
https://w3id.org/pmd/co/PMD_0000611,0.5246
https://w3id.org/pmd/co/PMD_0001011,0.5245
http://purl.obolibrary.org/obo/IAO_0000119,0.5245
https://w3id.org/pmd/co/PMD_0000020,0.5241
https://w3id.org/pmd/co/PMD_0000992,0.5224
https://w3id.org/pmd/co/PMD_0000914,0.5220
https://w3id.org/pmd/co/PMD_0000981,0.5215
https://w3id.org/pmd/co/PMD_0000551,0.5215
https://w3id.org/pmd/co/PMD_0000597,0.5213
http://purl.obolibrary.org/obo/BFO_0000054,0.5202
https://w3id.org/pmd/co/PMD_0000946,0.5201
http://purl.obolibrary.org/obo/BFO_0000034,0.5177
https://w3id.org/pmd/co/PMD_0000542,0.5127
https://w3id.org/pmd/co/PMD_0000848,0.5121
https://w3id.org/pmd/co/PMD_0000864,0.5121
https://w3id.org/pmd/co/PMD_0000883,0.5121
https://w3id.org/pmd/co/PMD_0000773,0.5105
https://w3id.org/pmd/co/PMD_0060001,0.5100
http://purl.obolibrary.org/obo/IAO_0000420,0.5081
https://w3id.org/pmd/co/PMD_0000932,0.5067
https://w3id.org/pmd/co/PMD_0000877,0.5061
http://purl.obolibrary.org/obo/BFO_0000218,0.5056
https://w3id.org/pmd/co/PMD_0000972,0.5048
https://w3id.org/pmd/co/PMD_0000937,0.5020
https://w3id.org/pmd/co/PMD_0000859,0.5019
https://w3id.org/pmd/co/PMD_0020138,0.5011
https://w3id.org/pmd/co/PMD_0000583,0.5006
https://w3id.org/pmd/co/PMD_0000508,0.4997
https://w3id.org/pmd/co/PMD_0000610,0.4984
https://w3id.org/pmd/co/PMD_0000936,0.4965
https://w3id.org/pmd/co/PMD_0000881,0.4954
https://w3id.org/pmd/co/PMD_0000834,0.4946
https://w3id.org/pmd/co/PMD_0000502,0.4941
https://w3id.org/pmd/co/PMD_0000002,0.4941
https://w3id.org/pmd/co/PMD_0020021,0.4939
https://w3id.org/pmd/co/PMD_0000821,0.4929
https://w3id.org/pmd/co/PMD_0000984,0.4926
https://w3id.org/pmd/co/PMD_0000550,0.4925
https://w3id.org/pmd/co/PMD_0020166,0.4919
https://w3id.org/pmd/co/PMD_0000578,0.4915
https://w3id.org/pmd/co/PMD_0050000,0.4912
https://w3id.org/pmd/co/PMD_0000005,0.4907
https://w3id.org/pmd/co/PMD_0000952,0.4904
http://purl.obolibrary.org/obo/BFO_0000066,0.4903
https://w3id.org/pmd/co/PMD_0000868,0.4894
https://w3id.org/pmd/co/PMD_0050009,0.4876
http://purl.obolibrary.org/obo/BFO_0000059,0.4873
https://w3id.org/pmd/co/PMD_0020200,0.4871
http://purl.obolibrary.org/obo/BFO_0000182,0.4866
https://w3id.org/pmd/co/PMD_0000802,0.4864
http://purl.obolibrary.org/obo/BFO_0000199,0.4863
https://w3id.org/pmd/co/PMD_0020025,0.4859
https://w3id.org/pmd/co/PMD_0000654,0.4858
https://w3id.org/pmd/co/PMD_0000915,0.4857
https://w3id.org/pmd/co/PMD_0000943,0.4853
https://w3id.org/pmd/co/PMD_0000949,0.4847
http://purl.obolibrary.org/obo/IAO_0000235,0.4843
http://purl.obolibrary.org/obo/IAO_0000027,0.4841
http://purl.obolibrary.org/obo/BFO_0000222,0.4822
https://w3id.org/pmd/co/PMD_0000584,0.4814
https://w3id.org/pmd/co/PMD_0020105,0.4814
https://w3id.org/pmd/co/PMD_0000554,0.4811
https://w3id.org/pmd/co/PMD_0020004,0.4807
https://w3id.org/pmd/co/PMD_0000646,0.4806
https://w3id.org/pmd/co/PMD_0000579,0.4800
https://w3id.org/pmd/co/PMD_0000604,0.4799
http://purl.obolibrary.org/obo/BFO_0000115,0.4780
https://w3id.org/pmd/co/PMD_0020133,0.4774
https://w3id.org/pmd/co/PMD_0000556,0.4767
https://w3id.org/pmd/co/PMD_0000968,0.4759
https://w3id.org/pmd/co/PMD_0000979,0.4756
https://w3id.org/pmd/co/PMD_0000524,0.4755
http://purl.obolibrary.org/obo/BFO_0000141,0.4740
https://w3id.org/pmd/co/PMD_0000780,0.4730
https://w3id.org/pmd/co/PMD_0000622,0.4729
https://w3id.org/pmd/co/PMD_0020148,0.4727
https://w3id.org/pmd/co/PMD_0000919,0.4721
https://w3id.org/pmd/co/PMD_0000532,0.4708
https://w3id.org/pmd/co/PMD_0000538,0.4707
https://w3id.org/pmd/co/PMD_0000980,0.4707
https://w3id.org/pmd/co/PMD_0000595,0.4703
https://w3id.org/pmd/co/PMD_0000779,0.4695
https://w3id.org/pmd/co/PMD_0020128,0.4686
https://w3id.org/pmd/co/PMD_0000869,0.4677
https://w3id.org/pmd/co/PMD_0000661,0.4672
https://w3id.org/pmd/co/PMD_0000623,0.4668
https://w3id.org/pmd/co/PMD_0001031,0.4666
https://w3id.org/pmd/co/PMD_0020153,0.4650
https://w3id.org/pmd/co/PMD_0000975,0.4648
https://w3id.org/pmd/co/PMD_0050134,0.4645
https://w3id.org/pmd/co/PMD_0000976,0.4638
https://w3id.org/pmd/co/PMD_0000849,0.4634
http://purl.obolibrary.org/obo/BFO_0000185,0.4634
http://purl.obolibrary.org/obo/IAO_0000410,0.4631
https://w3id.org/pmd/co/PMD_0000540,0.4628
https://w3id.org/pmd/co/PMD_0000817,0.4622
https://w3id.org/pmd/co/PMD_0020135,0.4622
https://w3id.org/pmd/co/PMD_0000818,0.4607
http://purl.obolibrary.org/obo/BFO_0000035,0.4607
https://w3id.org/pmd/co/PMD_0000548,0.4606
https://w3id.org/pmd/co/PMD_0020003,0.4603
https://w3id.org/pmd/co/PMD_0000534,0.4601
http://purl.obolibrary.org/obo/BFO_0000027,0.4599
https://w3id.org/pmd/co/PMD_0000529,0.4596
https://w3id.org/pmd/co/PMD_0000896,0.4587
http://purl.obolibrary.org/obo/BFO_0000016,0.4582
https://w3id.org/pmd/co/PMD_0000852,0.4580
https://w3id.org/pmd/co/PMD_0000506,0.4579
http://purl.obolibrary.org/obo/IAO_0000219,0.4579
https://w3id.org/pmd/co/PMD_0020020,0.4576
https://w3id.org/pmd/co/PMD_0000053,0.4575
https://w3id.org/pmd/co/PMD_0000588,0.4573
https://w3id.org/pmd/co/PMD_0000790,0.4563
https://w3id.org/pmd/co/PMD_0000939,0.4558
https://w3id.org/pmd/co/PMD_0000561,0.4553
https://w3id.org/pmd/co/PMD_0000001,0.4552
https://w3id.org/pmd/co/PMD_0000641,0.4550
