IRI,Similarity
https://w3id.org/pmd/co/process,0.6427
https://w3id.org/pmd/co/output,0.6116
https://w3id.org/pmd/co/subordinateProcess,0.5979
https://w3id.org/pmd/co/ManufacturingProcess,0.5839
https://w3id.org/pmd/co/ProcessDescription,0.5831
https://w3id.org/pmd/co/input,0.5813
https://w3id.org/pmd/co/OperatorRole,0.5768
https://w3id.org/pmd/co/Process,0.5757
https://w3id.org/pmd/co/AssemblingProcess,0.5430
https://w3id.org/pmd/co/superordinateProcess,0.5413
https://w3id.org/pmd/co/belongsToProject,0.5385
https://w3id.org/pmd/co/executes,0.5315
https://w3id.org/pmd/co/InitiatorRole,0.5219
https://w3id.org/pmd/co/Operator,0.5188
https://w3id.org/pmd/co/Medium,0.5170
https://w3id.org/pmd/co/ProcessIdentifier,0.5150
https://w3id.org/pmd/co/AnalysingProcess,0.4851
https://w3id.org/pmd/co/MeasuringProcess,0.4793
https://w3id.org/pmd/co/participant,0.4731
https://w3id.org/pmd/co/MicroscopyProcess,0.4627
https://w3id.org/pmd/co/Perimeter,0.4618
https://w3id.org/pmd/co/NodeInfo,0.4577
https://w3id.org/pmd/co/previousProcess,0.4547
https://w3id.org/pmd/co/Object,0.4458
https://w3id.org/pmd/co/TransformativeAnalysisProcess,0.4433
https://w3id.org/pmd/co/ClassificationDocument,0.4427
https://w3id.org/pmd/co/ProcessDuration,0.4407
https://w3id.org/pmd/co/WorkingRange,0.4401
https://w3id.org/pmd/co/nextProcess,0.4254
https://w3id.org/pmd/co/ManufacturingNode,0.4228
https://w3id.org/pmd/co/executedBy,0.4214
https://w3id.org/pmd/co/DigitalEntity,0.4184
https://w3id.org/pmd/co/ProcessingNode,0.4163
https://w3id.org/pmd/co/ConditioningProcess,0.4106
https://w3id.org/pmd/co/characteristic,0.4073
https://w3id.org/pmd/co/ValueObject,0.4065
https://w3id.org/pmd/co/Filter,0.4055
https://w3id.org/pmd/co/MediaMovement,0.4044
https://w3id.org/pmd/co/TemperatureChangingProcess,0.4009
