IRI,Similarity
http://purl.obolibrary.org/obo/OBI_0000047,0.6076
http://purl.obolibrary.org/obo/IAO_0000030,0.5776
http://purl.obolibrary.org/obo/BFO_0000015,0.5318
http://purl.obolibrary.org/obo/OBI_0000094,0.5265
http://purl.obolibrary.org/obo/BFO_0000001,0.5099
http://purl.obolibrary.org/obo/IAO_0000015,0.4928
http://purl.obolibrary.org/obo/RO_0001001,0.4704
http://purl.obolibrary.org/obo/OBI_0000312,0.4671
http://purl.obolibrary.org/obo/OBI_0000299,0.4662
http://purl.obolibrary.org/obo/STATO_0000379,0.4637
http://purl.obolibrary.org/obo/BFO_0000017,0.4636
http://purl.obolibrary.org/obo/IAO_0000300,0.4596
http://purl.obolibrary.org/obo/OBI_0000293,0.4438
http://purl.obolibrary.org/obo/OBI_0200000,0.4421
http://purl.obolibrary.org/obo/RO_0002222,0.4414
http://purl.obolibrary.org/obo/IAO_0000102,0.4364
http://purl.obolibrary.org/obo/OBI_0000295,0.4313
http://purl.obolibrary.org/obo/OBI_0600014,0.4279
http://purl.obolibrary.org/obo/IAO_0000027,0.4273
http://purl.obolibrary.org/obo/OBI_0200184,0.4261
http://purl.obolibrary.org/obo/OBI_0000456,0.4204
http://purl.obolibrary.org/obo/STATO_0000192,0.4172
http://purl.obolibrary.org/obo/OBI_0200166,0.4128
http://purl.obolibrary.org/obo/STATO_0000327,0.4119
http://purl.obolibrary.org/obo/IAO_0000144,0.4102
http://purl.obolibrary.org/obo/BFO_0000040,0.4030
http://purl.obolibrary.org/obo/IAO_0000007,0.4017
