IRI,Similarity
http://www.w3.org/ns/mls#Process,0.5297
http://www.w3.org/ns/mls#hasPart,0.4969
http://purl.org/dc/elements/1.1/relation,0.4968
http://purl.org/dc/elements/1.1/title,0.4899
http://www.w3.org/ns/mls#hasInput,0.4879
http://purl.org/dc/elements/1.1/contributor,0.4878
http://purl.org/dc/elements/1.1/date,0.4853
http://purl.org/dc/elements/1.1/source,0.4819
http://purl.org/dc/elements/1.1/subject,0.4815
http://purl.org/dc/elements/1.1/format,0.4812
http://purl.org/dc/elements/1.1/rights,0.4798
http://purl.org/dc/elements/1.1/language,0.4699
http://purl.org/dc/elements/1.1/coverage,0.4670
http://purl.org/dc/elements/1.1/identifier,0.4641
http://purl.org/dc/elements/1.1/creator,0.4621
http://purl.org/dc/elements/1.1/description,0.4373
http://purl.org/dc/elements/1.1/publisher,0.4274
http://purl.org/dc/elements/1.1/type,0.4162
