LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
TXTFile	TXTFile	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#TXTFile			
Building	Building	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Building			
RelationalQuality	RelationalQuality	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#RelationalQuality			Class defined by the Basic Formal Ontology (BFO)
OriginalGaugeLength	OriginalGaugeLength	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#OriginalGaugeLength			Original gauge length of the test piece
HardnessBrinell	HardnessBrinell	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HardnessBrinell			Hardness according to Brinell
HardnessTestingEquipment	HardnessTestingEquipment	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HardnessTestingEquipment			Any kind of hardness testing equipment/machine (e.g. Brinell, Vickers, Rockwell)
ContinuantFiatBoundary	ContinuantFiatBoundary	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ContinuantFiatBoundary			Class defined by the Basic Formal Ontology (BFO)
DOCXFile	DOCXFile	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#DOCXFile			
Person	Person	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Person			
TransmissionElectronMicroscopy	TransmissionElectronMicroscopy	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#TransmissionElectronMicroscopy			
Ratio	Ratio	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Ratio			
AmountOfSubstance	AmountOfSubstance	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#AmountOfSubstance			
refersToElementSymbol	refersToElementSymbol	DatatypeProperty	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#refersToElementSymbol			
MicroscopeAccessory	MicroscopeAccessory	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#MicroscopeAccessory			Microscope related accessory (e.g. light fixture, object lenses...)
SemicolonDelimiter	SemicolonDelimiter	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#SemicolonDelimiter			
Experiment	Experiment	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Experiment			
ContinuousCasting	ContinuousCasting	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ContinuousCasting			
MaterialJetting	MaterialJetting	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#MaterialJetting			
Inclusion	Inclusion	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Inclusion			
Specimen	Specimen	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Specimen			
WeldedConnection	WeldedConnection	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#WeldedConnection			
Terbium	Terbium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Terbium			
MeasurementLocation	MeasurementLocation	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#MeasurementLocation			The location (a point) at which some quantity is measured
Cleaning	Cleaning	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Cleaning			
Grain	Grain	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Grain			
Publication	Publication	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Publication			
SelectiveHeatTreatment	SelectiveHeatTreatment	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#SelectiveHeatTreatment			
ChemicalComposition	ChemicalComposition	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ChemicalComposition			
hasPart	hasPart	ObjectProperty	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#hasPart			
SeparatingCastPartFromMold	SeparatingCastPartFromMold	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#SeparatingCastPartFromMold			The act of separating the cast part from the mold.
MaterialStructureInfo	MaterialStructureInfo	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#MaterialStructureInfo			
SuperimposedVibration	SuperimposedVibration	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#SuperimposedVibration			Superimposed vibration during the casting process
ObjectID	ObjectID	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ObjectID			
Area	Area	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Area			
CoolingWaterConnection	CoolingWaterConnection	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#CoolingWaterConnection			
ISOStandard	ISOStandard	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ISOStandard			
HeatResistantGloves	HeatResistantGloves	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HeatResistantGloves			Heat resistant gloves, e.g. used to remove objects from a heat treatment furnace.
Dysprosium	Dysprosium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Dysprosium			
Tomography	Tomography	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Tomography			A tomography process
Iodine	Iodine	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Iodine			
InorganicMaterial	InorganicMaterial	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#InorganicMaterial			
Berylium	Berylium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Berylium			
Literal	Literal	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Literal			
TensileTestingMachine	TensileTestingMachine	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#TensileTestingMachine			
Radon	Radon	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Radon			
