LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
WorkflowInstance	WorkflowInstance	Entity	http://purl.org/wild/vocab#WorkflowInstance			
inWorkflowInstance	inWorkflowInstance	Entity	http://purl.org/wild/vocab#inWorkflowInstance			
Tobias Käfer	Tobias_K-C3-A4fer	Entity	http://www.aifb.kit.edu/id/Tobias_K-C3-A4fer			
endDate	endDate	Entity	http://schema.org/endDate			
containsActivity	containsActivity	Entity	http://purl.org/wild/vocab#containsActivity			
Request	Request	Entity	http://www.w3.org/2011/http#Request			
Ask	Ask	Entity	http://spinrdf.org/sp#Ask			
Activity	Activity	Entity	http://purl.org/wild/vocab#Activity			
ConditionalActivity	ConditionalActivity	Entity	http://purl.org/wild/vocab#ConditionalActivity			
hasAtomicActivity	hasAtomicActivity	Entity	http://purl.org/wild/vocab#hasAtomicActivity			
skipped	skipped	Entity	http://purl.org/wild/vocab#skipped			
uninitialised	uninitialised	Entity	http://purl.org/wild/vocab#uninitialised			
List	List	Entity	http://www.w3.org/1999/02/22-rdf-syntax-ns#List			
ActivityInstance	ActivityInstance	Entity	http://purl.org/wild/vocab#ActivityInstance			
VirtualInstanceState	VirtualInstanceState	Entity	http://purl.org/wild/vocab#VirtualInstanceState			
instanceOf	instanceOf	Entity	http://purl.org/wild/vocab#instanceOf			
done	done	Entity	http://purl.org/wild/vocab#done			
hasState	hasState	Entity	http://purl.org/wild/vocab#hasState			
hasChildActivity	hasChildActivity	Entity	http://purl.org/wild/vocab#hasChildActivity			
State	State	Entity	http://purl.org/wild/vocab#State			
doneFromListItemOne	doneFromListItemOne	Entity	http://purl.org/wild/vocab#doneFromListItemOne			
active	active	Entity	http://purl.org/wild/vocab#active			
ActiveOrInitialisedInstanceState	ActiveOrInitialisedInstanceState	Entity	http://purl.org/wild/vocab#ActiveOrInitialisedInstanceState			
hasChildActivities	hasChildActivities	Entity	http://purl.org/wild/vocab#hasChildActivities			
ParallelActivity	ParallelActivity	Entity	http://purl.org/wild/vocab#ParallelActivity			
initialised	initialised	Entity	http://purl.org/wild/vocab#initialised			
hasBehaviour	hasBehaviour	Entity	http://purl.org/wild/vocab#hasBehaviour			
activityInstanceOf	activityInstanceOf	Entity	http://purl.org/wild/vocab#activityInstanceOf			
hasPostcondition	hasPostcondition	Entity	http://purl.org/wild/vocab#hasPostcondition			
hasHttpRequest	hasHttpRequest	Entity	http://purl.org/wild/vocab#hasHttpRequest			
Instance	Instance	Entity	http://purl.org/wild/vocab#Instance			
CompositeActivity	CompositeActivity	Entity	http://purl.org/wild/vocab#CompositeActivity			
AtomicActivity	AtomicActivity	Entity	http://purl.org/wild/vocab#AtomicActivity			
hasPrecondition	hasPrecondition	Entity	http://purl.org/wild/vocab#hasPrecondition			
SequentialActivity	SequentialActivity	Entity	http://purl.org/wild/vocab#SequentialActivity			
WorkflowModel	WorkflowModel	Entity	http://purl.org/wild/vocab#WorkflowModel			
paused	paused	Entity	http://purl.org/wild/vocab#paused			
initialisedFromListItemOne	initialisedFromListItemOne	Entity	http://purl.org/wild/vocab#initialisedFromListItemOne			
workflowInstanceOf	workflowInstanceOf	Entity	http://purl.org/wild/vocab#workflowInstanceOf			
hasDescendantActivity	hasDescendantActivity	Entity	http://purl.org/wild/vocab#hasDescendantActivity			
WiLD ontology	vocab	Entity	http://purl.org/wild/vocab			Ontology to describe Workflows in Linked Data
