LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
dataset series	DatasetSeries	Class	http://www.w3.org/ns/dcat#DatasetSeries			
Größenwert	QuantityValue	Class	http://www.molmod.info/semantics/pims-ii.ttl#QuantityValue			
coverage interval	CoverageInterval	Class	https://ptb.de/si/CoverageInterval			
hat ROR ID	hasRorId	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasRorId	has research organization registry id | hat Forschungsorganisationsid		
Titel	title	AnnotationProperty	http://purl.org/dc/terms/title			
Datenerfasser*in	DataCollector	Individual	http://w3id.org/nfdi4ing/metadata4ing#DataCollector			
implementiert	implementsMethod	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#implementsMethod			
has variable description	hasVariableDescription	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasVariableDescription			
Organisation	Organization	Class	http://xmlns.com/foaf/0.1/Organization			An organization.
producer	Producer	Individual	http://w3id.org/nfdi4ing/metadata4ing#Producer			
hat Input	RO_0002233	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002233			
Verteilung	Distribution	Class	http://www.w3.org/ns/dcat#Distribution			
first name	firstName	DatatypeProperty	http://xmlns.com/foaf/0.1/firstName			The first name of a person.
created	created	AnnotationProperty	http://purl.org/dc/terms/created			
has runtime assignment	hasRuntimeAssignment	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasRuntimeAssignment			
Value	Value	Class	http://www.molmod.info/semantics/pims-ii.ttl#Value			
broader	broader	AnnotationProperty	http://www.w3.org/2004/02/skos/core#broader			
prefLabel	prefLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#prefLabel			
has coverage factor	hasCoverageFactor	DatatypeProperty	https://ptb.de/si/hasCoverageFactor			
Agent	Agent	Class	http://xmlns.com/foaf/0.1/Agent			An agent (eg. person, group, software or physical artifact).
Output von	RO_0002353	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002353			
hatte Rolle	hadRole	ObjectProperty	http://www.w3.org/ns/prov#hadRole			
Reell	Real	Class	https://ptb.de/si/Real			
related person	RelatedPerson	Individual	http://w3id.org/nfdi4ing/metadata4ing#RelatedPerson			
has symbol	hasSymbol	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasSymbol			
Nachname	lastName	DatatypeProperty	http://xmlns.com/foaf/0.1/lastName			The last name of a person.
hat Unsicherheitsdeklaration	hasUncertaintyDeclaration	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasUncertaintyDeclaration			
hat Standardunsicherheit	hasStandardUnc	DatatypeProperty	https://ptb.de/si/hasStandardUnc			
Teil von	BFO_0000050	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050			
has variable	hasVariable	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasVariable			
Tool	Tool	Class	http://w3id.org/nfdi4ing/metadata4ing#Tool			
abstract	abstract	AnnotationProperty	http://purl.org/dc/terms/abstract			
associated to project	inProject	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#inProject			
Metadata4Ing		Entity	http://w3id.org/nfdi4ing/metadata4ing#			"
Metadata4Ing defines classes and properties or reuses such classes and properties from other ontologies to describe research processes and research data management in NFDI4Ing. 
New concepts and properties are located in the namespace of Metadata4Ing.
Metadata4Ing does not import complete ontologies for the sake of relevance, readability, understandability and usability by and for engineers.
Instead, it tries to make re-use of existing identifiers for classes and properties by re-using all or a relevant subset of the axioms from the original ontology.
These statements have been extracted in different ways, e.g. by using Protégé tools importing an ontology and copying axioms of relevant items to Metadata4Ing or by download from data services or raw files of ontologies and manual copypasting.
In some cases there was a need to extend or modify the original set of statements about an entity, e.g. because labels and definitions were expressed with a different owl:AnnotationProperty than the rest of Metadata4Ing, or because a skos:preflabel or a skos:definition in any of the languages we would like to support was missing.
Any editorial changes on elements from external ontologies are declared in Metadata4Ing by an annotation with skos:editorialNote at item-level.
To get the original set of statements we encourage to visit the original namespace of the respective item.
Metadata4Ing reuses elements from the following ontologies:
- BIBO = Bibliographic Ontology  
- BIRO = Bibliographic Reference Ontology  
- DCAT = Data Catalog  
- DCTERMS = Dublin Core Terms  
- FOAF = Friend of a Friend  
- OWL = Web Ontology Language  
- PROV = Provenance Namespace  
- QUDT = Quantities, Units, Dimensions and Types  
- RDF = Resource Description Framework  
- RDFS = RDF Schema  
- SCHEMA = schema.org  
- SKOS = Simple Knowledge Organization System  
- SSN = Semantic Sensor Network Ontology  
- VANN = Vocabulary for Annotating vocabulary descriptions  
- XSD = XML Schema Definition  
- EMMO = European Materials and Modelling Ontology  
- BFO = Basic Formal Ontology  
- RO = Relation Ontology  
- PIMS-II = PIMS Interoperability Infrastructure  
- D-SI = Digital System of Units  
"
hat Projektmitglied	projectParticipant	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#projectParticipant			
is value in assignment	isValueInAssignment	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isValueInAssignment			
supervisor	Supervisor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Supervisor			
duration	duration	Entity	http://www.w3.org/2001/XMLSchema#duration			
uses instrument	instrument	ObjectProperty	https://schema.org/instrument			
Activity	Activity	Class	http://www.w3.org/ns/prov#Activity			
Arbeitsschritt	ProcessingStep	Class	http://w3id.org/nfdi4ing/metadata4ing#ProcessingStep			
is assignment for	isAssignmentFor	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isAssignmentFor			
realizable entity	BFO_0000017	Class	http://purl.obolibrary.org/obo/BFO_0000017			
wasRoleIn	wasRoleIn	ObjectProperty	http://www.w3.org/ns/prov#wasRoleIn			
bibliographic record	BibliographicRecord	Class	http://purl.org/spar/biro/BibliographicRecord			A record that uniquely describes a particular textual or data publication (or a work in preparation for publication). Each bibliographic record is a set of entities describing aspects of the referenced work, including, for example, but not restricted to: authors, title, journal, publication year, DOI, ISSN, publisher and copyright information, or, in the case of a data publication: creators, title, version, archive, publication year, DOI or other identifier). The FRBR expression of a bibliographic record is a bibliographic reference, which usually contains only a sub-set of these entities, ordered in a particular way that corresponds to the house style of the publication in which it occurs.
preferredNamespacePrefix	preferredNamespacePrefix	AnnotationProperty	http://purl.org/vocab/vann/preferredNamespacePrefix			
creator	creator	AnnotationProperty	http://purl.org/dc/terms/creator			
hat Zeitstempel	temporal	DatatypeProperty	https://schema.org/temporal			
Forschungsgruppe	ResearchGroup	Individual	http://w3id.org/nfdi4ing/metadata4ing#ResearchGroup			
is employed tool	isEmployedToolIn	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#isEmployedToolIn			
Datenverwalter*in	DataManager	Individual	http://w3id.org/nfdi4ing/metadata4ing#DataManager			
Assignment	Assignment	Class	http://www.molmod.info/semantics/pims-ii.ttl#Assignment			Assignment, i.e., a data item by which a value is assigned to a variable with respect to a particular referent (e.g., T = 200 K for substance o as it was measured in a particular cognitive step); therein, T is the variable, related to the assignment by m4i:hasVariable, 200 K is the value, related to the assignment by m4i:hasValue, and o is the referent, related to the assignment by isAssignmentFor
hat Unsicherheit	hasUncertainty	DatatypeProperty	https://ptb.de/si/hasUncertainty			
compression format	compressFormat	ObjectProperty	http://www.w3.org/ns/dcat#compressFormat			
has interval minimum	hasIntervalMin	DatatypeProperty	https://ptb.de/si/hasIntervalMin			
Sponsor*in	Sponsor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Sponsor			
