LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
has Dimensionality	hasDimensionality	DatatypeProperty	http://www.opmw.org/ontology/hasDimensionality			"Property that represents the dimensionality of the artifact: 0 is a single file, 1 for a collection, etc.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/DataVariable/AQUAFLOW_NTM_DAILYDATA>
     a opmw:DataVariable, opmw:WorkflowTemplateArtifact;
     opmw:hasDimensionality ""1""^^xsd:int.
"
is Variable of Template	isVariableOfTemplate	ObjectProperty	http://www.opmw.org/ontology/isVariableOfTemplate			"Property used to dessignate which workflow Data Variables belong to a workflow template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/page/resource/DataVariable/AQUAFLOW_EDM_HOURLYDATA>
     a opmw:DataVariable;
     opmw:isVariableOfTemplate <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_EDM>."
executed in Workflow System	executedInWorkflowSystem	ObjectProperty	http://www.opmw.org/ontology/executedInWorkflowSystem			"Property to bind an execution account to the system where it was executed (which could be different from the one used for designing its workflow template).

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmo: <http://openprovenance.org/model/opmo#> .

<http://www.opmw.org/export/resource/WorkflowExecutionAccount/acc1>
      a opmo:Account, opmw:executionAccount;
      opmw:executedInWorkflowSystem <http://www.opmw.org/export/resource/Agent/SHELL>.

<http://www.opmw.org/export/resource/Agent/SHELL> 
     a opmw:Agent."
Account	Account	Class	http://openprovenance.org/model/opmo#Account			
is Parameter of Template	isParameterOfTemplate	ObjectProperty	http://www.opmw.org/ontology/isParameterOfTemplate			"Property used to dessignate which workflow Parameter Variables belong to a workflow template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/ParameterVariable/AQUAFLOW_EDM_DATE>
     a opmw:ParameterVariable;
     opmw:isParameterOfTemplate <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_EDM>."
Process	Process	Class	http://purl.org/net/opmv/ns#Process			
has Execution Diagram	hasExecutionDiagram	DatatypeProperty	http://www.opmw.org/ontology/hasExecutionDiagram			"Property that links an execution account to its diagram. The diagram shows how the template has been instantiated with different components.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmo: <http://openprovenance.org/model/opmo#> .

<http://www.opmw.org/export/resource/WorkflowExecutionAccount/ACCOUNT1335506667949>
     a opmw:WorkflowExecutionAccount,opmo:Account;
     opmw:hasExecutionDiagram ""http://wind.isi.edu/marbles/assets/components/workflow_portal/users/1/Water/runs/run_148.png""^^sxd:anyURI."
corresponds to Template Artifact	correspondsToTemplateArtifact	ObjectProperty	http://www.opmw.org/ontology/correspondsToTemplateArtifact			"Property that binds a workflow execution artifact to its correspondant workflow template artifact.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .

<http://www.opmw.org/export/resource/WorkflowExecutionArtifact/DEPTH1.2150836> 
       a opmv:Artifact, opmw:WorkflowExecutionArtifact;
       opmw:correspondsToTemplateArtifact <http://www.opmw.org/export/resource/ParameterVariable/AQUAFLOW_EDM_DEPTH>."
corresponds to Template Process	correspondsToTemplateProcess	ObjectProperty	http://www.opmw.org/ontology/correspondsToTemplateProcess			"Property that binds a workflow execution process  to its correspondant process template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .

<http://www.opmw.org/export/resource/WorkflowExecutionProcess/REAERATIONEDM133549210450086>
     a opmv:Process, opmw:WorkflowExecutionProcess;
     opmw:correspondsToTemplateProcess <http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_REAERATIONEDM>. "
overall End Time	overallEndTime	DatatypeProperty	http://www.opmw.org/ontology/overallEndTime			"Property which states that none of the activities contained in the account finished executing after the End Time.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmo: <http://openprovenance.org/model/opmo#> .

<http://www.opmw.org/export/resource/WorkflowExecutionAccount/ACCOUNT1335506667949>
     a opmw:WorkflowExecutionAccount,opmo:Account;
     opmw:overallEndTime ""2012-04-25T10:28:55-07:00""^^xsd:dateTime."
Artifact	Artifact	Class	http://purl.org/net/opmv/ns#Artifact			
uses	uses	ObjectProperty	http://www.opmw.org/ontology/uses			"Property that binds a workflow template process to the workflow template artifact that generates it.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_REAERATIONEDM>
     a opmw:WorkflowTemplateProcess;
     opmw:uses <http://www.opmw.org/export/resource/DataVariable/PARAMETERSFILE>."
Workflow Execution Account	WorkflowExecutionAccount	Class	http://www.opmw.org/ontology/WorkflowExecutionAccount			"A workflow execution account represents the execution from the perspective of the system.

Example:
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmo: <http://openprovenance.org/model/opmo#> .

<http://www.opmw.org/export/resource/WorkflowExecutionAccount/ACCOUNT1335533097598>
      a       opmo:Account , opmw:WorkflowExecutionAccount> ;
      rdfs:label ""Execution account created on 1335533097598"" ;
      opmw:executedInWorkflowSystem
              <http://www.opmw.org/export/resource/Agent/SHELL> ;
     opmw:hasEndTime
              ""2012-04-25T07:17:48-07:00""^^xsd:dateTime ;
      opmw:hasExecutionDiagram ""http://wind.isi.edu/marbles/assets/components/workflow_portal/users/1/Water/runs/run_144.png""^^xsd:anyURI ;
      opmw:hasStartTime               ""2012-04-25T07:17:05-07:00""^^xsd:dateTime ;
      opmw:hasStatus ""SUCCESS"" ;"
Workflow Execution Process	WorkflowExecutionProcess	Class	http://www.opmw.org/ontology/WorkflowExecutionProcess			"A workflow execution process represents the execution of a step in workflow template. The execution process also describes the specific method used to acomplish the task described in the proces template.

Example:
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .
@prefix opmo: <http://openprovenance.org/model/opmo#> .

<http://www.opmw.org/export/resource/WorkflowExecutionProcess/CONVERTTOSTANDARDFORMAT133553>
      a      opmw:/WorkflowExecutionProcess , opmv:Process ;
      rdfs:label ""Execution process ConvertToStandardFormat"" ;
      opmo:account              <http://www.opmw.org/export/resource/WorkflowExecutionAccount/ACCOUNT1335533097598> ;
      opmv:used              <http://www.opmw.org/export/resource/WorkflowExecutionArtifact/6C7CF277338D9590EE18534D4D78924F> ;
      opmv:wasControlledBy               <http://www.opmw.org/export/resource/Agent/ADMIN> ;
      opmw:hasWorkflowTemplateProcess              <http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_CONVERTTOSTANDARDFORMAT> ."
has Location	hasLocation	DatatypeProperty	http://www.opmw.org/ontology/hasLocation			"Property used to link an execution artifact to the physical location of its file in the server.

Example
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .

<http://www.opmw.org/export/resource/WorkflowExecutionArtifact/DCF49186981194248009E24BAD6A6412>
      a opmv:Artifact, opmw:WorkflowExecutionArtifact.
      opmw:hasLocation ""http://www.opmw.org/datasets/resource/1/148/NTMParams_SMN_2010_03_14Z""^^xsd:anyURI."
