LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
0000-0003-1427-3723	0000-0003-1427-3723	Individual	https://orcid.org/0000-0003-1427-3723			
max repetitions	maxRepetitions	DatatypeProperty	https://w3id.org/pko#maxRepetitions			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the maximum number of repetitions for a Step. If the maxRepetitions is equal to 1, it means that the Step is not repeatable.
has user question occurrence	hasUserQuestionOccurrence	ObjectProperty	https://w3id.org/pko#hasUserQuestionOccurrence			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure Execution or Step Execution to a User Question Occurrence, that is the occurrence of a question that the user came up with during execution.
holds role in time	holdsRoleInTime	ObjectProperty	http://purl.org/spar/pro/holdsRoleInTime			
is step for expertise level	isStepForExpertiseLevel	ObjectProperty	https://w3id.org/pko#isStepForExpertiseLevel			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step to the Expertise Level, meaning that the Step, or MultiStep, is targeted at persons with a certain level of expertise (e.g., junior, senior).
addresses error	addressesError	ObjectProperty	https://w3id.org/pko#addressesError			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a (Multi)Step of a Procedure to the Error it addresses. Such (Multi)Step represents a Fallback procedure.
F A Q Category	FAQCategory	Class	https://w3id.org/pko#FAQCategory			This class represents the Category of a Frequently Asked Question (FAQ).
corresponds to variable	correspondsToVariable	ObjectProperty	http://purl.org/net/p-plan#correspondsToVariable			
User Question Occurrence	UserQuestionOccurrence	Class	https://w3id.org/pko#UserQuestionOccurrence			This class represents the occurrence of a question that an Agent came up with during the Procedure or Step Execution.
Temporal Unit	TemporalUnit	Class	http://www.w3.org/2006/time#TemporalUnit			
Organization	Organization	Class	http://www.w3.org/ns/prov#Organization			
Error	Error	Class	https://w3id.org/pko#Error			This class represents an Error that can be encountered while executing an activity.
requires function	requiresFunction	ObjectProperty	https://w3id.org/pko#requiresFunction			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step to a Function that needs to be performed by a Software Agent for executing the Step.
priorVersion	priorVersion	AnnotationProperty	http://www.w3.org/2002/07/owl#priorVersion			
was associated with	wasAssociatedWith	ObjectProperty	http://www.w3.org/ns/prov#wasAssociatedWith			
has first step	hasFirstStep	ObjectProperty	https://w3id.org/pko#hasFirstStep			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure or a MultiStep to its first Step.
preferredNamespacePrefix	preferredNamespacePrefix	AnnotationProperty	http://purl.org/vocab/vann/preferredNamespacePrefix			
Step Verification	StepVerification	Class	https://w3id.org/pko#StepVerification			A Step Verification is a description of the way in which the execution of a Step can be verified.
funding	funding	AnnotationProperty	https://schema.org/funding			
requires action	requiresAction	ObjectProperty	https://w3id.org/pko#requiresAction			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step to an Action that needs to be performed by a human Agent (a Person) for executing the Step.
0000-0001-5791-8427	0000-0001-5791-8427	Individual	https://orcid.org/0000-0001-5791-8427			
Approved	Approved	Individual	https://w3id.org/pko#Approved			
created	created	DatatypeProperty	http://purl.org/dc/terms/created			
temporal	temporal	ObjectProperty	http://purl.org/dc/terms/temporal			
Paused	Paused	Individual	https://w3id.org/pko#Paused			
relates to	relatesTo	ObjectProperty	http://purl.org/spar/pro/relatesTo			
previous step	previousStep	ObjectProperty	https://w3id.org/pko#previousStep			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step to its direct previous Step.
Step Execution	StepExecution	Class	https://w3id.org/pko#StepExecution			A Procedure Execution is an Activity representing the execution of a certain Step of a Procedure, performed by one or more Agents, during a time interval.
issue cause by user	issueCauseByUser	DatatypeProperty	https://w3id.org/pko#issueCauseByUser			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the cause of an issue, encountered during a Procedure/Step Execution, as identified and defined by the user.
is step verification of	isStepVerificationOf	ObjectProperty	https://w3id.org/pko#isStepVerificationOf			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step Verification, that is the way in which the execution of the step can be verified, to the Step it verifies.
has version	hasVersion	ObjectProperty	http://www.w3.org/ns/dcat#hasVersion			
