LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Elektrisch	Electrical	Class	https://w3id.org/pmd/co/Electrical			
Identifier	Identifier	Class	https://w3id.org/pmd/co/Identifier			
Datensatz	Dataset	Class	https://w3id.org/pmd/co/Dataset			
DataCite Identifier	Identifier	Class	http://purl.org/spar/datacite/Identifier			
title	title	AnnotationProperty	http://purl.org/dc/terms/title			
hasFunction	hasFunction	ObjectProperty	https://w3id.org/pmd/co/hasFunction			
Masse Anteil	MassFraction	Class	https://w3id.org/pmd/co/MassFraction			
Prozessdauer	ProcessDuration	Class	https://w3id.org/pmd/co/ProcessDuration			
input of	inputOf	ObjectProperty	https://w3id.org/pmd/co/inputOf	is input of		
hasSelector	hasSelector	ObjectProperty	http://www.w3.org/ns/oa#hasSelector			
Form	Shape	Class	https://w3id.org/pmd/co/Shape			
created	created	AnnotationProperty	http://purl.org/dc/terms/created			
Datenerfassungsrate	DataAcquisitionRate	Class	https://w3id.org/pmd/co/DataAcquisitionRate			
Assembling Process	AssemblingProcess	Class	https://w3id.org/pmd/co/AssemblingProcess			
metadata complete	IAO_0000120	Individual	http://purl.obolibrary.org/obo/IAO_0000120			
definition source	IAO_0000119	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119			
Manufacturing Node	ManufacturingNode	Class	https://w3id.org/pmd/co/ManufacturingNode			
relates to	relatesTo	ObjectProperty	https://w3id.org/pmd/co/relatesTo			
Knotenmodell	NodeModel	Class	https://w3id.org/pmd/co/NodeModel			
license	license	AnnotationProperty	http://purl.org/dc/elements/1.1/license			
Dimension Measuring Device	DimensionMeasuringDevice	Class	https://w3id.org/pmd/co/DimensionMeasuringDevice			
Van der Waals Bindung	VanderwaalsBond	Class	https://w3id.org/pmd/co/VanderwaalsBond			
fragment path	fragmentPath	DatatypeProperty	https://w3id.org/pmd/co/fragmentPath			
Sequence Number	SequenceNumber	Class	https://w3id.org/pmd/co/SequenceNumber			
Basisanteil	BaseFraction	Class	https://w3id.org/pmd/co/BaseFraction			
Engineered Material	EngineeredMaterial	Class	https://w3id.org/pmd/co/EngineeredMaterial			
A role indication that an organization is a sub section of another organization.	DepartmentRole	Class	https://w3id.org/pmd/co/DepartmentRole			
Metadaten	Metadata	Class	https://w3id.org/pmd/co/Metadata			
Regression	Regression	Class	https://w3id.org/pmd/co/Regression			
Chemische Zusammensetzung	ChemicalComposition	Class	https://w3id.org/pmd/co/ChemicalComposition			
characteristic	characteristic	ObjectProperty	https://w3id.org/pmd/co/characteristic	has characteristic		
Aging Interval	AgingInterval	Class	https://w3id.org/pmd/co/AgingInterval			
Filter	Filter	Class	https://w3id.org/pmd/co/Filter			
Region of Interest	RegionOfInterest	Class	https://w3id.org/pmd/co/RegionOfInterest			
o3	o3	Entity	https://w3id.org/pmd/co/o3			
Radius	Radius	Class	https://w3id.org/pmd/co/Radius			
Kristalline Struktur	CrystallineStructure	Class	https://w3id.org/pmd/co/CrystallineStructure			
Material Property	MaterialProperty	Class	https://w3id.org/pmd/co/MaterialProperty			
Thomas Hanke	0000-0003-1649-6832	Entity	https://orcid.org/0000-0003-1649-6832			
Electron Microscope	ElectronMicroscope	Class	https://w3id.org/pmd/co/ElectronMicroscope			
Bernd Bayerlein	0000-0002-3717-7104	Entity	https://orcid.org/0000-0002-3717-7104			
KiloN	KiloN	Individual	http://qudt.org/vocab/unit/KiloN			
organizational term	IAO_0000121	Individual	http://purl.obolibrary.org/obo/IAO_0000121			
resource	resource	ObjectProperty	https://w3id.org/pmd/co/resource	has resource		
