LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
has measurement datum	IAO_0000583	ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000583			
ridge regression best linear unbiaised predictor	STATO_0000480	Class	http://purl.obolibrary.org/obo/STATO_0000480			
absolute difference	STATO_0000614	Class	http://purl.obolibrary.org/obo/STATO_0000614			
mode calculation	OBI_0200117	Class	http://purl.obolibrary.org/obo/OBI_0200117			
Helmert contrast	STATO_0000305	Class	http://purl.obolibrary.org/obo/STATO_0000305			
linear regression for analysis of continuous dependent variable	STATO_0000108	Class	http://purl.obolibrary.org/obo/STATO_0000108			
multinomial distribution	STATO_0000103	Class	http://purl.obolibrary.org/obo/STATO_0000103			
executes	STATO_0000102	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000102			
stratification rule	STATO_0000124	Class	http://purl.obolibrary.org/obo/STATO_0000124			
eigen value	STATO_0000566	Class	http://purl.obolibrary.org/obo/STATO_0000566			
material to be added	OBI_1110108	Class	http://purl.obolibrary.org/obo/OBI_1110108			
cloning insert role	OBI_0000416	Class	http://purl.obolibrary.org/obo/OBI_0000416			
light emission device	OBI_0001032	Class	http://purl.obolibrary.org/obo/OBI_0001032			
confidence interval calculation	STATO_0000175	Class	http://purl.obolibrary.org/obo/STATO_0000175			
relative difference	STATO_0000615	Class	http://purl.obolibrary.org/obo/STATO_0000615			
number of true negative	STATO_0000597	Class	http://purl.obolibrary.org/obo/STATO_0000597			
realizes	BFO_0000055	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055			Paraphrase of elucidation: a relation between a process and a realizable entity, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
genome-wide association study	STATO_0000091	Class	http://purl.obolibrary.org/obo/STATO_0000091			
standard deviation for sample	STATO_0000684	Class	http://purl.obolibrary.org/obo/STATO_0000684			
mortality	STATO_0000414	Class	http://purl.obolibrary.org/obo/STATO_0000414			
declares	STATO_0000001	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000001			
Wald test	STATO_0000559	Class	http://purl.obolibrary.org/obo/STATO_0000559			
Z-test	STATO_0000052	Class	http://purl.obolibrary.org/obo/STATO_0000052			
alternative hypothesis	STATO_0000208	Class	http://purl.obolibrary.org/obo/STATO_0000208			
conclusion textual entity	IAO_0000144	Class	http://purl.obolibrary.org/obo/IAO_0000144			
Rand index	STATO_0000592	Class	http://purl.obolibrary.org/obo/STATO_0000592			
mass	PATO_0000125	Class	http://purl.obolibrary.org/obo/PATO_0000125			
study design	OBI_0500000	Class	http://purl.obolibrary.org/obo/OBI_0500000			
percentage	STATO_0000639	Class	http://purl.obolibrary.org/obo/STATO_0000639			
contrast	STATO_0000290	Class	http://purl.obolibrary.org/obo/STATO_0000290			
posterior predictive value	STATO_0000660	Class	http://purl.obolibrary.org/obo/STATO_0000660			
imported from	IAO_0000412	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000412			
Dunn’s multiple comparison test	STATO_0000490	Class	http://purl.obolibrary.org/obo/STATO_0000490			
DNA sequence data	OBI_0001573	Class	http://purl.obolibrary.org/obo/OBI_0001573			
dimensionality reduction	OBI_0200050	Class	http://purl.obolibrary.org/obo/OBI_0200050			
95% credible interval	STATO_0000456	Class	http://purl.obolibrary.org/obo/STATO_0000456			
additive dominant genetic and epistatic inheritance model	STATO_0000489	Class	http://purl.obolibrary.org/obo/STATO_0000489			
specimen collection process	OBI_0000659	Class	http://purl.obolibrary.org/obo/OBI_0000659			
reciprocal of difference	STATO_0000634	Class	http://purl.obolibrary.org/obo/STATO_0000634			
family wise error rate correction method	OBI_0200073	Class	http://purl.obolibrary.org/obo/OBI_0200073			
association between categorical variables testing objective	STATO_0000121	Class	http://purl.obolibrary.org/obo/STATO_0000121			
averaging objective	OBI_0000425	Class	http://purl.obolibrary.org/obo/OBI_0000425			
material combination	OBI_0000652	Class	http://purl.obolibrary.org/obo/OBI_0000652			
molecular-labeled material	OBI_0001936	Class	http://purl.obolibrary.org/obo/OBI_0001936			
L'Abbe plot	STATO_0000422	Class	http://purl.obolibrary.org/obo/STATO_0000422			
statistical test hypothesis	OBI_0000673	Class	http://purl.obolibrary.org/obo/OBI_0000673			
mesure of calibration	STATO_0000685	Class	http://purl.obolibrary.org/obo/STATO_0000685			
value specification	OBI_0001933	Class	http://purl.obolibrary.org/obo/OBI_0001933			
analyte role	OBI_0000275	Class	http://purl.obolibrary.org/obo/OBI_0000275			
number needed to screen to prevent	STATO_0000636	Class	http://purl.obolibrary.org/obo/STATO_0000636			
curator note	IAO_0000232	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000232			
k-nearest neighbour data imputation	STATO_0000523	Class	http://purl.obolibrary.org/obo/STATO_0000523			
two-dimensional spatial region	BFO_0000009	Class	http://purl.obolibrary.org/obo/BFO_0000009			
number needed to screen to detect	STATO_0000637	Class	http://purl.obolibrary.org/obo/STATO_0000637			
deoxyribonucleic acid	CHEBI_16991	Class	http://purl.obolibrary.org/obo/CHEBI_16991			
M matrix	STATO_0000495	Class	http://purl.obolibrary.org/obo/STATO_0000495			
cool function	OBI_0000387	Class	http://purl.obolibrary.org/obo/OBI_0000387			
Pareto type-IV probability distribution	STATO_0000395	Class	http://purl.obolibrary.org/obo/STATO_0000395			
Homo sapiens	NCBITaxon_9606	Class	http://purl.obolibrary.org/obo/NCBITaxon_9606			
culture medium	OBI_0000079	Class	http://purl.obolibrary.org/obo/OBI_0000079			
IEDB alternative term	OBI_9991118	AnnotationProperty	http://purl.obolibrary.org/obo/OBI_9991118			
scatterplot matrix	STATO_0000387	Class	http://purl.obolibrary.org/obo/STATO_0000387			
microarray	OBI_0400147	Class	http://purl.obolibrary.org/obo/OBI_0400147			
panel sampling	STATO_0000511	Class	http://purl.obolibrary.org/obo/STATO_0000511			
loadings	STATO_0000568	Class	http://purl.obolibrary.org/obo/STATO_0000568			
F-statistic	STATO_0000282	Class	http://purl.obolibrary.org/obo/STATO_0000282			
Fagan nomogram	STATO_0000407	Class	http://purl.obolibrary.org/obo/STATO_0000407			
is_supported_by_data	OBI_0000124	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000124			
Creator	creator	AnnotationProperty	http://purl.org/dc/elements/1.1/creator			"An entity primarily responsible for making the content 
         of the resource."
RNA-seq assay	OBI_0001271	Class	http://purl.obolibrary.org/obo/OBI_0001271			
standard error of the mean	STATO_0000037	Class	http://purl.obolibrary.org/obo/STATO_0000037			
descriptive statistical calculation data transformation	OBI_0200184	Class	http://purl.obolibrary.org/obo/OBI_0200184			
TPM-transcript per million	STATO_0000589	Class	http://purl.obolibrary.org/obo/STATO_0000589			
phage display library	OBI_1000029	Class	http://purl.obolibrary.org/obo/OBI_1000029			
Cohen's d	STATO_0000618	Class	http://purl.obolibrary.org/obo/STATO_0000618			
denominator degrees of freedom	STATO_0000527	Class	http://purl.obolibrary.org/obo/STATO_0000527			
split split plot design	STATO_0000445	Class	http://purl.obolibrary.org/obo/STATO_0000445			
binomial distribution	STATO_0000276	Class	http://purl.obolibrary.org/obo/STATO_0000276			
has specified value	OBI_0002135	DatatypeProperty	http://purl.obolibrary.org/obo/OBI_0002135			
first order autoregressive moving average covariance structure	STATO_0000364	Class	http://purl.obolibrary.org/obo/STATO_0000364			
definition	IAO_0000115	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115			
STATO alternative term	STATO_0000032	AnnotationProperty	http://purl.obolibrary.org/obo/STATO_0000032			
systematic sampling	STATO_0000509	Class	http://purl.obolibrary.org/obo/STATO_0000509			
permutation numbering	STATO_0000271	Class	http://purl.obolibrary.org/obo/STATO_0000271			
family	STATO_0000257	Class	http://purl.obolibrary.org/obo/STATO_0000257			
Forest plot	STATO_0000174	Class	http://purl.obolibrary.org/obo/STATO_0000174			
has_specified_output	OBI_0000299	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000299			
Chi-square test for homogeneity	STATO_0000701	Class	http://purl.obolibrary.org/obo/STATO_0000701			
quality of	RO_0000080	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000080			
fluorescence detection assay	OBI_0001501	Class	http://purl.obolibrary.org/obo/OBI_0001501			
Source	source	AnnotationProperty	http://purl.org/dc/elements/1.1/source			"A reference to a resource from which the present resource
         is derived."
Bayes C pi	STATO_0000533	Class	http://purl.obolibrary.org/obo/STATO_0000533			
cultured cell population	OBI_0100060	Class	http://purl.obolibrary.org/obo/OBI_0100060			The extent of a 'cultured cell population' is restricted only in that all cell members must share a propagation history (ie be derived through a common lineage of passages from an initial culture). In being defined in this way, this class can be used to refer to the populations that researchers actually use in the practice of science - ie are the inputs to culturing, experimentation, and sharing. The cells in such populations will be a relatively uniform population as they have experienced similar selective pressures due to their continuous co-propagation. And this population will also have a single passage number, again owing to their common passaging history. Cultured cell populations represent only a collection of cells (ie do not include media, culture dishes, etc), and include populations of cultured unicellular organisms or cultured multicellular organism cells. They can exist under active culture, stored in a quiescent state for future use, or applied experimentally.
cutoff	STATO_0000633	Class	http://purl.obolibrary.org/obo/STATO_0000633			
genetic association study	STATO_0000235	Class	http://purl.obolibrary.org/obo/STATO_0000235			
frequency	STATO_0000674	Class	http://purl.obolibrary.org/obo/STATO_0000674			
atom	CHEBI_33250	Class	http://purl.obolibrary.org/obo/CHEBI_33250			
documenting	IAO_0000572	Class	http://purl.obolibrary.org/obo/IAO_0000572			
x-axis	STATO_0000006	Class	http://purl.obolibrary.org/obo/STATO_0000006			
Newman-Keuls test post-hoc analysis	STATO_0000261	Class	http://purl.obolibrary.org/obo/STATO_0000261			
Euarchontoglires	NCBITaxon_314146	Class	http://purl.obolibrary.org/obo/NCBITaxon_314146			
polychotomous variable	STATO_0000087	Class	http://purl.obolibrary.org/obo/STATO_0000087			
percentile	STATO_0000293	Class	http://purl.obolibrary.org/obo/STATO_0000293			
Wilcoxon signed rank test	STATO_0000092	Class	http://purl.obolibrary.org/obo/STATO_0000092			
evaluant role	OBI_0000067	Class	http://purl.obolibrary.org/obo/OBI_0000067			
metadata incomplete	IAO_0000123	Individual	http://purl.obolibrary.org/obo/IAO_0000123			
Cleveland dot plot	STATO_0000066	Class	http://purl.obolibrary.org/obo/STATO_0000066			
datum label	IAO_0000009	Class	http://purl.obolibrary.org/obo/IAO_0000009			
group randomization	OBI_0302900	Class	http://purl.obolibrary.org/obo/OBI_0302900			
Date	date	AnnotationProperty	http://purl.org/dc/elements/1.1/date			"A date associated with an event in the life cycle of the
         resource."
Altman box and whisker plot	STATO_0000128	Class	http://purl.obolibrary.org/obo/STATO_0000128			
two sample t-test with equal variance	STATO_0000303	Class	http://purl.obolibrary.org/obo/STATO_0000303			
k-nearest neighbors	OBI_0000727	Class	http://purl.obolibrary.org/obo/OBI_0000727			
negative likelihood ratio	STATO_0000410	Class	http://purl.obolibrary.org/obo/STATO_0000410			
violin plot	STATO_0000154	Class	http://purl.obolibrary.org/obo/STATO_0000154			
error correction objective	OBI_0200186	Class	http://purl.obolibrary.org/obo/OBI_0200186			
realizable entity	BFO_0000017	Class	http://purl.obolibrary.org/obo/BFO_0000017			
data normalization objective	OBI_0200167	Class	http://purl.obolibrary.org/obo/OBI_0200167			
split-plot design	STATO_0000444	Class	http://purl.obolibrary.org/obo/STATO_0000444			
normal distribution hypothesis	STATO_0000019	Class	http://purl.obolibrary.org/obo/STATO_0000019			
improved Kernel PLS	STATO_0000579	Class	http://purl.obolibrary.org/obo/STATO_0000579			
Q-Q plot	STATO_0000241	Class	http://purl.obolibrary.org/obo/STATO_0000241			
statistical model selection	STATO_0000328	Class	http://purl.obolibrary.org/obo/STATO_0000328			
equal diagonal Factor Analytic covariance structure	STATO_0000359	Class	http://purl.obolibrary.org/obo/STATO_0000359			
mean calibration	STATO_0000686	Class	http://purl.obolibrary.org/obo/STATO_0000686			
q-value	OBI_0001442	Class	http://purl.obolibrary.org/obo/OBI_0001442			
Least significance different test	STATO_0000157	Class	http://purl.obolibrary.org/obo/STATO_0000157			
figure	IAO_0000308	Class	http://purl.obolibrary.org/obo/IAO_0000308			
F-distribution	STATO_0000204	Class	http://purl.obolibrary.org/obo/STATO_0000204			
child-parents trio	STATO_0000273	Class	http://purl.obolibrary.org/obo/STATO_0000273			
one sample t-test	STATO_0000302	Class	http://purl.obolibrary.org/obo/STATO_0000302			
specimen from organism	OBI_0001479	Class	http://purl.obolibrary.org/obo/OBI_0001479			
Vertebrata <Metazoa>	NCBITaxon_7742	Class	http://purl.obolibrary.org/obo/NCBITaxon_7742			
precision-recall curve	STATO_0000695	Class	http://purl.obolibrary.org/obo/STATO_0000695			
weighted least squares estimation	STATO_0000371	Class	http://purl.obolibrary.org/obo/STATO_0000371			
scalar value specification	OBI_0001931	Class	http://purl.obolibrary.org/obo/OBI_0001931			
probability distribution shape parameter	STATO_0000436	Class	http://purl.obolibrary.org/obo/STATO_0000436			
binary classification	STATO_0000031	Class	http://purl.obolibrary.org/obo/STATO_0000031			
selection criterion	OBI_0001755	Class	http://purl.obolibrary.org/obo/OBI_0001755			
addition of molecular label	OBI_0600038	Class	http://purl.obolibrary.org/obo/OBI_0600038			
Pearson's Chi square test of independence between categorical variables	STATO_0000081	Class	http://purl.obolibrary.org/obo/STATO_0000081			
entity	BFO_0000001	Class	http://purl.obolibrary.org/obo/BFO_0000001			
bug-database	bug-database	AnnotationProperty	http://usefulinc.com/ns/doap#bug-database			
single fragment library	OBI_0000736	Class	http://purl.obolibrary.org/obo/OBI_0000736			
has random effect on	STATO_0000381	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000381			
standard error of a contrast estimate	STATO_0000385	Class	http://purl.obolibrary.org/obo/STATO_0000385			
hierarchical clustering	OBI_0200042	Class	http://purl.obolibrary.org/obo/OBI_0200042			
Dixon Q test	STATO_0000440	Class	http://purl.obolibrary.org/obo/STATO_0000440			
molecular entity	CHEBI_23367	Class	http://purl.obolibrary.org/obo/CHEBI_23367			
Tukey HSD for Post-Hoc Analysis	STATO_0000187	Class	http://purl.obolibrary.org/obo/STATO_0000187			
function of	RO_0000079	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000079			
model error term	STATO_0000470	Class	http://purl.obolibrary.org/obo/STATO_0000470			
Barnard's test	STATO_0000310	Class	http://purl.obolibrary.org/obo/STATO_0000310			
Eukaryota	NCBITaxon_2759	Class	http://purl.obolibrary.org/obo/NCBITaxon_2759			
one tailed test	STATO_0000286	Class	http://purl.obolibrary.org/obo/STATO_0000286			
time sampled measurement data set	IAO_0000584	Class	http://purl.obolibrary.org/obo/IAO_0000584			
has measurement value	IAO_0000004	DatatypeProperty	http://purl.obolibrary.org/obo/IAO_0000004			
to be replaced with external ontology term	IAO_0000423	Individual	http://purl.obolibrary.org/obo/IAO_0000423			
derives into	RO_0001001	ObjectProperty	http://purl.obolibrary.org/obo/RO_0001001			
minimum observed value	STATO_0000150	Class	http://purl.obolibrary.org/obo/STATO_0000150			
organism	OBI_0100026	Class	http://purl.obolibrary.org/obo/OBI_0100026			
eta-squared	STATO_0000317	Class	http://purl.obolibrary.org/obo/STATO_0000317			
specimen collection objective	OBI_0000684	Class	http://purl.obolibrary.org/obo/OBI_0000684			
Bayes A	STATO_0000483	Class	http://purl.obolibrary.org/obo/STATO_0000483			
additive genetic inheritance model	STATO_0000487	Class	http://purl.obolibrary.org/obo/STATO_0000487			
is denoted by	STATO_0000205	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000205			
survival rate	OBI_0000789	Class	http://purl.obolibrary.org/obo/OBI_0000789			
class discovery data transformation	OBI_0200175	Class	http://purl.obolibrary.org/obo/OBI_0200175			
measure of heterogeneity	STATO_0000418	Class	http://purl.obolibrary.org/obo/STATO_0000418			
mean difference	STATO_0000457	Class	http://purl.obolibrary.org/obo/STATO_0000457			
zero-dimensional spatial region	BFO_0000018	Class	http://purl.obolibrary.org/obo/BFO_0000018			
standard error of the difference between independent proportions	STATO_0000649	Class	http://purl.obolibrary.org/obo/STATO_0000649			
calibration intercept	STATO_0000688	Class	http://purl.obolibrary.org/obo/STATO_0000688			
generalized extreme studentized deviate test	STATO_0000443	Class	http://purl.obolibrary.org/obo/STATO_0000443			
genetic characteristics information	OBI_0001404	Class	http://purl.obolibrary.org/obo/OBI_0001404			
has value specification	OBI_0001938	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0001938			
hazard ratio	STATO_0000677	Class	http://purl.obolibrary.org/obo/STATO_0000677			
probability distribution variance	STATO_0000693	Class	http://purl.obolibrary.org/obo/STATO_0000693			
Hosmer-Lemeshow goodness-of-fit test	STATO_0000653	Class	http://purl.obolibrary.org/obo/STATO_0000653			
residual	STATO_0000234	Class	http://purl.obolibrary.org/obo/STATO_0000234			
geometric distribution	STATO_0000145	Class	http://purl.obolibrary.org/obo/STATO_0000145			
regression coefficient	STATO_0000565	Class	http://purl.obolibrary.org/obo/STATO_0000565			
median of the ratios corrected count	STATO_0000590	Class	http://purl.obolibrary.org/obo/STATO_0000590			
pedigree chart	STATO_0000122	Class	http://purl.obolibrary.org/obo/STATO_0000122			
McNemar test	STATO_0000433	Class	http://purl.obolibrary.org/obo/STATO_0000433			
BFO OWL specification label	BFO_0000179	AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000179			
kernel mixture distribution	STATO_0000333	Class	http://purl.obolibrary.org/obo/STATO_0000333			
is quality measured as	IAO_0000417	ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000417			
maintaining cell culture	OBI_0600024	Class	http://purl.obolibrary.org/obo/OBI_0600024			
Viruses	NCBITaxon_10239	Class	http://purl.obolibrary.org/obo/NCBITaxon_10239			
material separation device	OBI_0000932	Class	http://purl.obolibrary.org/obo/OBI_0000932			
survival distribution	STATO_0000335	Class	http://purl.obolibrary.org/obo/STATO_0000335			
stacked bar chart	STATO_0000159	Class	http://purl.obolibrary.org/obo/STATO_0000159			
subject pairing	STATO_0000139	Class	http://purl.obolibrary.org/obo/STATO_0000139			
partial least square weight	STATO_0000477	Class	http://purl.obolibrary.org/obo/STATO_0000477			
lower confidence limit	STATO_0000315	Class	http://purl.obolibrary.org/obo/STATO_0000315			
temporal interpretation	RO_0001900	AnnotationProperty	http://purl.obolibrary.org/obo/RO_0001900			
example to be eventually removed	IAO_0000002	Individual	http://purl.obolibrary.org/obo/IAO_0000002			
Kolmogorov-Smirnov test	STATO_0000083	Class	http://purl.obolibrary.org/obo/STATO_0000083			
genetic inheritance model	STATO_0000534	Class	http://purl.obolibrary.org/obo/STATO_0000534			
extract	OBI_0000423	Class	http://purl.obolibrary.org/obo/OBI_0000423			
partitioning data transformation	OBI_0200171	Class	http://purl.obolibrary.org/obo/OBI_0200171			
primary structure of DNA macromolecule	OBI_0000811	Class	http://purl.obolibrary.org/obo/OBI_0000811			
polar coordinate system	STATO_0000016	Class	http://purl.obolibrary.org/obo/STATO_0000016			
device	OBI_0000968	Class	http://purl.obolibrary.org/obo/OBI_0000968			
upper confidence limit	STATO_0000314	Class	http://purl.obolibrary.org/obo/STATO_0000314			
substrate concentration	STATO_0000072	Class	http://purl.obolibrary.org/obo/STATO_0000072			
Plackett-Burman design	STATO_0000313	Class	http://purl.obolibrary.org/obo/STATO_0000313			
rate measurement datum	OBI_0001554	Class	http://purl.obolibrary.org/obo/OBI_0001554			
Format	format	AnnotationProperty	http://purl.org/dc/elements/1.1/format			The physical or digital manifestation of the resource.
material combination objective	OBI_0000686	Class	http://purl.obolibrary.org/obo/OBI_0000686			
Michaelis-Menten constant	STATO_0000272	Class	http://purl.obolibrary.org/obo/STATO_0000272			
probability distribution	STATO_0000225	Class	http://purl.obolibrary.org/obo/STATO_0000225			
Galbraith plot	STATO_0000263	Class	http://purl.obolibrary.org/obo/STATO_0000263			
Akaike information criterion	STATO_0000325	Class	http://purl.obolibrary.org/obo/STATO_0000325			
homogeneity test objective	STATO_0000173	Class	http://purl.obolibrary.org/obo/STATO_0000173			
post-hoc analysis	STATO_0000133	Class	http://purl.obolibrary.org/obo/STATO_0000133			
assay array	OBI_0001865	Class	http://purl.obolibrary.org/obo/OBI_0001865			
meta analysis	STATO_0000155	Class	http://purl.obolibrary.org/obo/STATO_0000155			
Lineweaver-Burk plot	STATO_0000186	Class	http://purl.obolibrary.org/obo/STATO_0000186			
Python command	STATO_0000391	AnnotationProperty	http://purl.obolibrary.org/obo/STATO_0000391			
physical store	OBI_0002089	Class	http://purl.obolibrary.org/obo/OBI_0002089			
difference in differences	STATO_0000665	Class	http://purl.obolibrary.org/obo/STATO_0000665			
paired-end library	OBI_0000722	Class	http://purl.obolibrary.org/obo/OBI_0000722			
multiple testing correction method	OBI_0200089	Class	http://purl.obolibrary.org/obo/OBI_0200089			
PLS2	STATO_0000578	Class	http://purl.obolibrary.org/obo/STATO_0000578			
graeco latin square design	OBI_0500012	Class	http://purl.obolibrary.org/obo/OBI_0500012			
material maintenance	OBI_0000838	Class	http://purl.obolibrary.org/obo/OBI_0000838			
scalar measurement datum	IAO_0000032	Class	http://purl.obolibrary.org/obo/IAO_0000032			
continuous variable discretization	STATO_0000213	Class	http://purl.obolibrary.org/obo/STATO_0000213			
risk	STATO_0000620	Class	http://purl.obolibrary.org/obo/STATO_0000620			
presence of between group difference hypothesis	STATO_0000146	Class	http://purl.obolibrary.org/obo/STATO_0000146			
has_specified_input	OBI_0000293	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000293			
specifically dependent continuant	BFO_0000020	Class	http://purl.obolibrary.org/obo/BFO_0000020			
has member	STATO_0000115	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000115			
measurement device	OBI_0000832	Class	http://purl.obolibrary.org/obo/OBI_0000832			
MAF matrix	STATO_0000494	Class	http://purl.obolibrary.org/obo/STATO_0000494			
is member of organization	OBI_0000846	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000846			
scaled t distribution	STATO_0000529	Class	http://purl.obolibrary.org/obo/STATO_0000529			
Cochran's q test for heterogeneity	STATO_0000434	Class	http://purl.obolibrary.org/obo/STATO_0000434			
multiple testing correction objective	OBI_0000791	Class	http://purl.obolibrary.org/obo/OBI_0000791			
part of	BFO_0000050	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050			
real time quantitative pcr plot	STATO_0000168	Class	http://purl.obolibrary.org/obo/STATO_0000168			
alpha spending procedure	STATO_0000605	Class	http://purl.obolibrary.org/obo/STATO_0000605			
transcription profiling assay	OBI_0000424	Class	http://purl.obolibrary.org/obo/OBI_0000424			
