LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
ObjectAggregate	ObjectAggregate	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ObjectAggregate			Class defined by the Basic Formal Ontology (BFO)
CastingRelatedSubprocess	CastingRelatedSubprocess	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#CastingRelatedSubprocess			Casting related subprocesses, that are not described within PrimaryShapingOfLiquidState (e.g. the act of melting, the act of casting the melt into the mold...)
ProducerName	ProducerName	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#ProducerName			Name of the producer of any kind of product
Strontium	Strontium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Strontium			
Magnesium	Magnesium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Magnesium			
Rubidium	Rubidium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Rubidium			
Ratio	Ratio	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Ratio			
Xenon	Xenon	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Xenon			
StrainRelatedQuantity	StrainRelatedQuantity	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#StrainRelatedQuantity			
Caesium	Caesium	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Caesium			
IndentationForceBrinell	IndentationForceBrinell	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#IndentationForceBrinell			Applied indentation force within the Brinell indentation process
HeatingEquipment	HeatingEquipment	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HeatingEquipment			
NickelAlloy	NickelAlloy	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#NickelAlloy			
SolutionAnnealingDuration	SolutionAnnealingDuration	Class	https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#SolutionAnnealingDuration			The duration of the solution annealing process, i.e. of the time spent at the solution annealing temperature
