LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
isVariableofPlan	isVariableOfPlan	ObjectProperty	http://purl.org/net/p-plan#isVariableOfPlan			
title	title	AnnotationProperty	http://purl.org/dc/terms/title			
Entity	Entity	Class	http://www.w3.org/ns/prov#Entity			
isStepOfPlan	isStepOfPlan	ObjectProperty	http://purl.org/net/p-plan#isStepOfPlan			
hasInputVar	hasInputVar	ObjectProperty	http://purl.org/net/p-plan#hasInputVar			
description	description	AnnotationProperty	http://purl.org/dc/terms/description			
Bundle	Bundle	Class	http://purl.org/net/p-plan#Bundle			
date	date	Entity	http://www.w3.org/2001/XMLSchema#date			
created	created	AnnotationProperty	http://purl.org/dc/terms/created			
correspondsToVariable	correspondsToVariable	ObjectProperty	http://purl.org/net/p-plan#correspondsToVariable			
definition	definition	AnnotationProperty	http://www.w3.org/ns/prov#definition			
modified	modified	AnnotationProperty	http://purl.org/dc/terms/modified			
Entity	Entity	Class	http://purl.org/net/p-plan#Entity			
Bundle	Bundle	Class	http://www.w3.org/ns/prov#Bundle			
Activity	Activity	Class	http://purl.org/net/p-plan#Activity			A p-plan:Activity represents the execution process planned in a p-plan:Step
isInputVarOf	isInputVarOf	ObjectProperty	http://purl.org/net/p-plan#isInputVarOf			
Plan	Plan	Class	http://www.w3.org/ns/prov#Plan			
isOutputVarOf	isOutputVarOf	ObjectProperty	http://purl.org/net/p-plan#isOutputVarOf			
correspondsToStep	correspondsToStep	ObjectProperty	http://purl.org/net/p-plan#correspondsToStep			
Step	Step	Class	http://purl.org/net/p-plan#Step			
Activity	Activity	Class	http://www.w3.org/ns/prov#Activity			
hasOutputVar	hasOutputVar	ObjectProperty	http://purl.org/net/p-plan#hasOutputVar			
preferredNamespacePrefix	preferredNamespacePrefix	AnnotationProperty	http://purl.org/vocab/vann/preferredNamespacePrefix			
isPreceededBy	isPreceededBy	ObjectProperty	http://purl.org/net/p-plan#isPreceededBy			http://purl.org/net/p-plan#
creator	creator	AnnotationProperty	http://purl.org/dc/terms/creator			
Plan	Plan	Class	http://purl.org/net/p-plan#Plan			
license	license	AnnotationProperty	http://purl.org/dc/terms/license			
		Individual	http://purl.org/net/p-plan#			PROV extension for linking Plans and parts of plans to their respective executions. Created by Daniel Garijo and Yolanda Gil
Variable	Variable	Class	http://purl.org/net/p-plan#Variable			
preferredNamespaceUri	preferredNamespaceUri	AnnotationProperty	http://purl.org/vocab/vann/preferredNamespaceUri			
