LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
hasAtomicActivity	hasAtomicActivity	ObjectProperty	http://purl.org/wild/vocab#hasAtomicActivity			
Ask	Ask	Class	http://spinrdf.org/sp#Ask			
ActivityInstance	ActivityInstance	Class	http://purl.org/wild/vocab#ActivityInstance			
hasHttpRequest	hasHttpRequest	ObjectProperty	http://purl.org/wild/vocab#hasHttpRequest			
inWorkflowInstance	inWorkflowInstance	ObjectProperty	http://purl.org/wild/vocab#inWorkflowInstance			
WiLD ontology	vocab	Entity	http://purl.org/wild/vocab			Ontology to describe Workflows in Linked Data
ParallelActivity	ParallelActivity	Class	http://purl.org/wild/vocab#ParallelActivity			
hasBehaviour	hasBehaviour	ObjectProperty	http://purl.org/wild/vocab#hasBehaviour			
initialised	initialised	Individual	http://purl.org/wild/vocab#initialised			
skipped	skipped	Individual	http://purl.org/wild/vocab#skipped			
hasDescendantActivity	hasDescendantActivity	ObjectProperty	http://purl.org/wild/vocab#hasDescendantActivity			
WorkflowInstance	WorkflowInstance	Class	http://purl.org/wild/vocab#WorkflowInstance			
doneFromListItemOne	doneFromListItemOne	Individual	http://purl.org/wild/vocab#doneFromListItemOne			
ListMembershipProperty	ListMembershipProperty	Class	http://purl.org/list/vocab#ListMembershipProperty			
Request	Request	Class	http://www.w3.org/2011/http#Request			
done	done	Individual	http://purl.org/wild/vocab#done			
ConditionalActivity	ConditionalActivity	Class	http://purl.org/wild/vocab#ConditionalActivity			
instanceOf	instanceOf	AnnotationProperty	http://purl.org/wild/vocab#instanceOf			
endDate	endDate	DatatypeProperty	http://schema.org/endDate			
Tobias Käfer	Tobias_K-C3-A4fer	Entity	http://www.aifb.kit.edu/id/Tobias_K-C3-A4fer			
InstanceState	InstanceState	Class	http://purl.org/wild/vocab#InstanceState			
ActiveOrInitialisedInstanceState	ActiveOrInitialisedInstanceState	Class	http://purl.org/wild/vocab#ActiveOrInitialisedInstanceState			
uninitialised	uninitialised	Individual	http://purl.org/wild/vocab#uninitialised			
hasState	hasState	ObjectProperty	http://purl.org/wild/vocab#hasState			
CompositeActivity	CompositeActivity	Class	http://purl.org/wild/vocab#CompositeActivity			
WorkflowModel	WorkflowModel	Class	http://purl.org/wild/vocab#WorkflowModel			
SequentialActivity	SequentialActivity	Class	http://purl.org/wild/vocab#SequentialActivity			
workflowInstanceOf	workflowInstanceOf	AnnotationProperty	http://purl.org/wild/vocab#workflowInstanceOf			
paused	paused	Individual	http://purl.org/wild/vocab#paused			
hasChildActivities	hasChildActivities	ObjectProperty	http://purl.org/wild/vocab#hasChildActivities			
hasPostcondition	hasPostcondition	ObjectProperty	http://purl.org/wild/vocab#hasPostcondition			
activityInstanceOf	activityInstanceOf	AnnotationProperty	http://purl.org/wild/vocab#activityInstanceOf			
Instance	Instance	Class	http://purl.org/wild/vocab#Instance			
hasChildActivity	hasChildActivity	ObjectProperty	http://purl.org/wild/vocab#hasChildActivity			
Property	Property	Class	http://www.w3.org/2000/01/rdf-schema#Property			
AtomicActivity	AtomicActivity	Class	http://purl.org/wild/vocab#AtomicActivity			
List	List	Class	http://www.w3.org/1999/02/22-rdf-syntax-ns#List			
accompanying	accompanying	AnnotationProperty	http://purl.org/list/vocab#accompanying			
Activity	Activity	Class	http://purl.org/wild/vocab#Activity			
State	State	Class	http://purl.org/wild/vocab#State			
containsActivity	containsActivity	ObjectProperty	http://purl.org/wild/vocab#containsActivity			
VirtualInstanceState	VirtualInstanceState	Class	http://purl.org/wild/vocab#VirtualInstanceState			
maker	maker	AnnotationProperty	http://xmlns.com/foaf/0.1/maker			
initialisedFromListItemOne	initialisedFromListItemOne	Individual	http://purl.org/wild/vocab#initialisedFromListItemOne			
active	active	Individual	http://purl.org/wild/vocab#active			
hasPrecondition	hasPrecondition	ObjectProperty	http://purl.org/wild/vocab#hasPrecondition			
