LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
note	note	AnnotationProperty	http://www.w3.org/2004/02/skos/core#note			
prefLabel	prefLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#prefLabel			
had role	hadRole	ObjectProperty	http://www.w3.org/ns/prov#hadRole			
creator	creator	AnnotationProperty	http://purl.org/dc/terms/creator			
zugehörige Person	RelatedPerson	Individual	http://w3id.org/nfdi4ing/metadata4ing#RelatedPerson			
hat ORCID ID	orcidId	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#orcidId			
is referenced by	isReferencedBy	AnnotationProperty	http://purl.org/dc/terms/isReferencedBy			A related resource that references, cites, or otherwise points to the described resource.
kind of quantity	KindOfQuantity	Class	http://w3id.org/nfdi4ing/metadata4ing#KindOfQuantity			
has ROR ID	hasRorId	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasRorId	has research organization registry id | hat Forschungsorganisationsid		
hasAdmissibleUnit	hasAdmissibleUnit	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasAdmissibleUnit			
broader	broader	AnnotationProperty	http://www.w3.org/2004/02/skos/core#broader			
example	example	AnnotationProperty	http://www.w3.org/2004/02/skos/core#example			
has unit	hasUnit	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasUnit			
references	references	AnnotationProperty	http://purl.org/dc/terms/references			A related resource that is referenced, cited, or otherwise pointed to by the described resource.
usage instruction	UsageInstruction	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#UsageInstruction			
has uncertainty	hasUncertainty	DatatypeProperty	https://ptb.de/si/hasUncertainty			
has variable	hasVariable	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasVariable			
hat Deckungswahrscheinlichkeit	hasCoverageProbability	DatatypeProperty	https://ptb.de/si/hasCoverageProbability			
scopeNote	scopeNote	AnnotationProperty	http://www.w3.org/2004/02/skos/core#scopeNote			
Betreuer*in	Supervisor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Supervisor			
Forschungsprojekt	ResearchProject	Class	https://schema.org/ResearchProject			A research project
rights holder	RightsHolder	Individual	http://w3id.org/nfdi4ing/metadata4ing#RightsHolder			
definition	definition	AnnotationProperty	http://www.w3.org/2004/02/skos/core#definition			
end time	endTime	DatatypeProperty	https://schema.org/endTime			"The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to <em>December</em>. For media, including audio and video, it's the time offset of the end of a clip within a larger file.<br/><br/>

Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions."
Unsicherheitsdeklaration	UncertaintyDeclaration	Class	http://w3id.org/nfdi4ing/metadata4ing#UncertaintyDeclaration			
Anbieter*in	Distributor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Distributor			
bibliographic record	BibliographicRecord	Class	http://purl.org/spar/biro/BibliographicRecord			A record that uniquely describes a particular textual or data publication (or a work in preparation for publication). Each bibliographic record is a set of entities describing aspects of the referenced work, including, for example, but not restricted to: authors, title, journal, publication year, DOI, ISSN, publisher and copyright information, or, in the case of a data publication: creators, title, version, archive, publication year, DOI or other identifier). The FRBR expression of a bibliographic record is a bibliographic reference, which usually contains only a sub-set of these entities, ordered in a particular way that corresponds to the house style of the publication in which it occurs.
date	date	Entity	http://www.w3.org/2001/XMLSchema#date			
Variable	Variable	Class	http://www.molmod.info/semantics/pims-ii.ttl#Variable			
Reell	Real	Class	https://ptb.de/si/Real			
preferredNamespacePrefix	preferredNamespacePrefix	AnnotationProperty	http://purl.org/vocab/vann/preferredNamespacePrefix			
war Rolle in	wasRoleIn	ObjectProperty	http://www.w3.org/ns/prov#wasRoleIn			
Downloadlink	downloadURL	ObjectProperty	http://www.w3.org/ns/dcat#downloadURL			
ist beteiligt an	RO_0000056	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000056			
hat Input	RO_0002233	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002233			
Sponsor*in	Sponsor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Sponsor			
compression format	compressFormat	ObjectProperty	http://www.w3.org/ns/dcat#compressFormat			
ends with	RO_0002230	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002230	finished by		
ist zulässige Einheit für	isAdmissibleUnitFor	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isAdmissibleUnitFor			
Packformat	packageFormat	ObjectProperty	http://www.w3.org/ns/dcat#packageFormat			
investigates	investigates	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#investigates			
hat Datumszuweisung bearbeitet	hasDateAssignmentModified	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentModified			
has runtime assignment	hasRuntimeAssignment	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasRuntimeAssignment			
contact person	ContactPerson	Individual	http://w3id.org/nfdi4ing/metadata4ing#ContactPerson			
Intangible	Intangible	Class	https://schema.org/Intangible			
realisiert	BFO_0000055	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055			Paraphrase of elucidation: a relation between a process and a realizable entity, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
Titel	title	AnnotationProperty	http://purl.org/dc/terms/title			
work package leader	WorkPackageLeader	Individual	http://w3id.org/nfdi4ing/metadata4ing#WorkPackageLeader			
associated to project	inProject	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#inProject			
Wert	Value	Class	http://www.molmod.info/semantics/pims-ii.ttl#Value			
has standard uncertainty	hasStandardUnc	DatatypeProperty	https://ptb.de/si/hasStandardUnc			
erweiterte Unsicherheit	ExpandedUnc	Class	https://ptb.de/si/ExpandedUnc			
Dateigröße (in Byte)	byteSize	DatatypeProperty	http://www.w3.org/ns/dcat#byteSize			
Registrierungsstelle	RegistrationAgency	Individual	http://w3id.org/nfdi4ing/metadata4ing#RegistrationAgency			
Agent	agent	ObjectProperty	http://www.w3.org/ns/prov#agent			
hat Symbol	hasSymbol	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasSymbol			
other person	Other	Individual	http://w3id.org/nfdi4ing/metadata4ing#Other			
project manager	ProjectManager	Individual	http://w3id.org/nfdi4ing/metadata4ing#ProjectManager			
project member	ProjectMember	Individual	http://w3id.org/nfdi4ing/metadata4ing#ProjectMember			
Property	Property	Class	http://www.molmod.info/semantics/pims-ii.ttl#Property			
dataset series	DatasetSeries	Class	http://www.w3.org/ns/dcat#DatasetSeries			
editor	Editor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Editor			
is property of	isPropertyOf	ObjectProperty	http://www.w3.org/ns/ssn/isPropertyOf			
has parameter	hasParameter	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasParameter			
closeMatch	closeMatch	AnnotationProperty	http://www.w3.org/2004/02/skos/core#closeMatch			
has date assignment deleted	hasDateAssignmentDeleted	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentDeleted			
media type	mediaType	ObjectProperty	http://www.w3.org/ns/dcat#mediaType			
wird implementiert durch	implementedBy	ObjectProperty	http://www.w3.org/ns/ssn/implementedBy			
ist Zuweisung in Bezug auf	isAssignmentFor	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isAssignmentFor			
ist unmittelbare Voraussetzung für Schritt	RO_0002090	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002090			
has coverage interval	hasCoverageInterval	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasCoverageInterval			
Rolle des Akteurs	Role	Class	http://www.w3.org/ns/prov#Role			
data manager	DataManager	Individual	http://w3id.org/nfdi4ing/metadata4ing#DataManager			
Messeinheit	EMMO_b081b346_7279_46ef_9a3d_2c088fcd79f4	Class	http://emmo.info/emmo#EMMO_b081b346_7279_46ef_9a3d_2c088fcd79f4			
Gruppe	Group	Class	http://xmlns.com/foaf/0.1/Group			A class of Agents.
hat Teilnehmer	RO_0000057	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000057			
qualified association	qualifiedAssociation	ObjectProperty	http://www.w3.org/ns/prov#qualifiedAssociation			
beginnt mit	RO_0002224	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002224	started by		
status	status	AnnotationProperty	http://purl.org/ontology/bibo/status			
