Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	BFO:0000050	owl:deprecated	please use BFO2020 property 'is continuant part of' or 'is occurent part of'
ERROR	deprecated_boolean_datatype	BFO:0000051	owl:deprecated	please use the BFO2020 property 'has occurent part' or 'has continuant part'
ERROR	duplicate_label	IAO:0000025	rdfs:label	programming language@en
ERROR	duplicate_label	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000186	rdfs:label	programming language@en
ERROR	duplicate_label	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000011	rdfs:label	plan@en
ERROR	duplicate_label	https://w3id.org/pmd/co/PMD_0000014	rdfs:label	plan@en
ERROR	duplicate_label	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000226	rdfs:label	is subject of@en
ERROR	duplicate_label	https://w3id.org/pmd/co/PMD_0000004	rdfs:label	is subject of@en
ERROR	duplicate_label	http://purls.helmholtz-metadaten.de/mwo/MWO_0001119	rdfs:label	has measurement unit label@en
ERROR	duplicate_label	https://w3id.org/pmd/co/PMD_0000020	rdfs:label	has measurement unit label@en
ERROR	duplicate_label	http://purls.helmholtz-metadaten.de/mwo/MWO_0001143	rdfs:label	has acronym@en
ERROR	duplicate_label	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010015	rdfs:label	has acronym@en
ERROR	duplicate_label	https://nfdi4culture.de/id/E1925	rdfs:label	Harald Sack
ERROR	duplicate_label	https://orcid.org/0000-0001-7069-9804	rdfs:label	Harald Sack
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en
ERROR	multiple_definitions	IAO:0000030	IAO:0000115	A generically dependent continuant that is about some thing.@en
ERROR	multiple_definitions	IAO:0000030	IAO:0000115	An information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity.
ERROR	multiple_definitions	IAO:0000112	IAO:0000115	A phrase describing how a class name should be used. May also include other kinds of examples that facilitate immediate understanding of a class semantics, such as widely known prototypical subclasses or instances of the class. Although essential for high level terms, examples for low level terms (e.g., Affymetrix HU133 array) are not.
ERROR	multiple_definitions	IAO:0000112	IAO:0000115	A phrase describing how a term should be used and/or a citation to a work which uses it. May also include other kinds of examples that facilitate immediate understanding, such as widely know prototypes or instances of a class, or cases where a relation is said to hold.@en
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official OBI definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_labels	IAO:0000030	rdfs:label	information content entity
ERROR	multiple_labels	IAO:0000030	rdfs:label	information content entity@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred label
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred label@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term~editor preferred label
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage@en
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition@en
ERROR	multiple_labels	IAO:0000115	rdfs:label	textual definition
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition source
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition source@en
ERROR	multiple_labels	http://www.ebi.ac.uk/swo/SWO_0000002	rdfs:label	licence@en
ERROR	multiple_labels	http://www.ebi.ac.uk/swo/SWO_0000002	rdfs:label	software license
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	URL de descarga@es
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	URL de téléchargement@fr
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	URL di scarico@it
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	URL souboru ke stažení@cs
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	URL μεταφόρτωσης@el
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	download URL@en
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	downloadURL@da
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	رابط تحميل@ar
ERROR	multiple_labels	http://www.w3.org/ns/dcat#downloadURL	rdfs:label	ダウンロードURL@ja
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000000	rdfs:label	Material@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000000	rdfs:label	Material@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000583	rdfs:label	Datenverarbeitung@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000583	rdfs:label	Rechenprozess@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000583	rdfs:label	computing process@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000602	rdfs:label	Device@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000602	rdfs:label	Gerät@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000603	rdfs:label	Device Role@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000603	rdfs:label	Rolle eines Gerätes@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000833	rdfs:label	Herstellungsprozess@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000833	rdfs:label	Manufacturing Process@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000849	rdfs:label	Mechanical Property Analyzing Process@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000849	rdfs:label	Mechanische Eigenschaften Analyseverfahren@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000919	rdfs:label	Probe-Rolle@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000919	rdfs:label	Sample Role@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000943	rdfs:label	Prüfling-Rolle@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000943	rdfs:label	Specimen Role@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000957	rdfs:label	Structural Property Analyzing Process@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000957	rdfs:label	Struktur Eigenschaften Analyseverfahren@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000975	rdfs:label	Proben-Rolle@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0000975	rdfs:label	Test Piece Role@en
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0001025	rdfs:label	Analyse@de
ERROR	multiple_labels	https://w3id.org/pmd/co/PMD_0001025	rdfs:label	assay@en
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] 
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] 
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] 
WARN	annotation_whitespace	BFO:0000002	IAO:0000602	(forall (x) (if (Material Entity x) (exists (t) (and (TemporalRegion t) (existsAt x t))))) // axiom label in BFO2 CLIF: [011-002] 
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(forall (x t) (if (IndependentContinuant x) (exists (r) (and (SpatialRegion r) (locatedInAt x r t))))) // axiom label in BFO2 CLIF: [134-001] 
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(forall (x t) (if (and (IndependentContinuant x) (existsAt x t)) (exists (y) (and (Entity y) (specificallyDependsOnAt y x t))))) // axiom label in BFO2 CLIF: [018-002] 
WARN	annotation_whitespace	BFO:0000004	IAO:0000602	(iff (IndependentContinuant a) (and (Continuant a) (not (exists (b t) (specificallyDependsOnAt a b t))))) // axiom label in BFO2 CLIF: [017-002] 
WARN	annotation_whitespace	BFO:0000016	IAO:0000602	(forall (x t) (if (and (RealizableEntity x) (existsAt x t)) (exists (y) (and (MaterialEntity y) (specificallyDepends x y t))))) // axiom label in BFO2 CLIF: [063-002] 
WARN	annotation_whitespace	BFO:0000016	IAO:0000602	(forall (x) (if (Disposition x) (and (RealizableEntity x) (exists (y) (and (MaterialEntity y) (bearerOfAt x y t)))))) // axiom label in BFO2 CLIF: [062-002] 
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (Quality x) (SpecificallyDependentContinuant x))) // axiom label in BFO2 CLIF: [055-001] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (exists (t) (and (existsAt x t) (Quality x))) (forall (t_1) (if (existsAt x t_1) (Quality x))))) // axiom label in BFO2 CLIF: [105-001] 
WARN	annotation_whitespace	BFO:0000020	IAO:0000602	(iff (RelationalSpecificallyDependentContinuant a) (and (SpecificallyDependentContinuant a) (forall (t) (exists (b c) (and (not (SpatialRegion b)) (not (SpatialRegion c)) (not (= b c)) (not (exists (d) (and (continuantPartOfAt d b t) (continuantPartOfAt d c t)))) (specificallyDependsOnAt a b t) (specificallyDependsOnAt a c t)))))) // axiom label in BFO2 CLIF: [131-004] 
WARN	annotation_whitespace	BFO:0000020	IAO:0000602	(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] 
WARN	annotation_whitespace	BFO:0000023	IAO:0000602	(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] 
WARN	annotation_whitespace	BFO:0000031	IAO:0000602	(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] 
WARN	annotation_whitespace	BFO:0000034	IAO:0000602	(forall (x) (if (Function x) (Disposition x))) // axiom label in BFO2 CLIF: [064-001] 
WARN	annotation_whitespace	IAO:0000009	IAO:0000232	"9/22/11 BP: changed the rdfs:label for this class from 'label' to 'datum label' to convey that this class is not intended to cover all kinds of labels (stickers, radiolabels, etc.), and not even all kind of textual labels, but rather the kind of labels occuring in a datum. 
"
WARN	annotation_whitespace	IAO:0000115	IAO:0000116	"2012-04-05: 
Barry Smith

The official OBI definition, explaining the meaning of a class or property: 'Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions'  is terrible.

Can you fix to something like:

A statement of necessary and sufficient conditions explaining the meaning of an expression referring to a class or property.

Alan Ruttenberg

Your proposed definition is a reasonable candidate, except that it is very common that necessary and sufficient conditions are not given. Mostly they are necessary, occasionally they are necessary and sufficient or just sufficient. Often they use terms that are not themselves defined and so they effectively can't be evaluated by those criteria. 

On the specifics of the proposed definition:

We don't have definitions of 'meaning' or 'expression' or 'property'. For 'reference' in the intended sense I think we use the term 'denotation'. For 'expression', I think we you mean symbol, or identifier. For 'meaning' it differs for class and property. For class we want documentation that let's the intended reader determine whether an entity is instance of the class, or not. For property we want documentation that let's the intended reader determine, given a pair of potential relata, whether the assertion that the relation holds is true. The 'intended reader' part suggests that we also specify who, we expect, would be able to understand the definition, and also generalizes over human and computer reader to include textual and logical definition. 

Personally, I am more comfortable weakening definition to documentation, with instructions as to what is desirable. 

We also have the outstanding issue of how to aim different definitions to different audiences. A clinical audience reading chebi wants a different sort of definition documentation/definition from a chemistry trained audience, and similarly there is a need for a definition that is adequate for an ontologist to work with.  @en"
WARN	annotation_whitespace	IAO:0000579	IAO:0000112	PubMed is a CRID registry. It has a code set of PubMed identifiers associated with journal articles. @en
WARN	annotation_whitespace	IAO:0000640	IAO:0000112	"Excerpt from Žitnik and Zupan. Bioinformatics. 2015 Jun 15; 31(12): i230–i239. (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4542780/):

Our work presented here is similar in spirit to our recently developed methodology for data fusion via collective matrix factorization (Žitnik and Zupan, 2015).

@en"
WARN	annotation_whitespace	http://www.w3.org/ns/dcat#downloadURL	skos:definition	رابط مباشر لملف يمكن تحميله. نوع الملف يتم توصيفه باستخدام الخاصية dcterms:format dcat:mediaType @ar
WARN	duplicate_exact_synonym	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001009	IAO:0000118	Integrated Authority File@en
WARN	duplicate_exact_synonym	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001010	IAO:0000118	Integrated Authority File@en
