Level	Rule Name	Subject	Property	Value
ERROR	missing_label	prov:aq	rdfs:label	
ERROR	missing_label	prov:category	rdfs:label	
ERROR	missing_label	prov:component	rdfs:label	
ERROR	missing_label	prov:constraints	rdfs:label	
ERROR	missing_label	prov:definition	rdfs:label	
ERROR	missing_label	prov:dm	rdfs:label	
ERROR	missing_label	prov:editorialNote	rdfs:label	
ERROR	missing_label	prov:editorsDefinition	rdfs:label	
ERROR	missing_label	prov:inverse	rdfs:label	
ERROR	missing_label	prov:n	rdfs:label	
ERROR	missing_label	prov:order	rdfs:label	
ERROR	missing_label	prov:qualifiedForm	rdfs:label	
ERROR	missing_label	prov:sharesDefinitionWith	rdfs:label	
ERROR	missing_label	prov:unqualifiedForm	rdfs:label	
ERROR	missing_label	http://www.w3.org/ns/prov-o#	rdfs:label	
WARN	annotation_whitespace	http://purl.org/net/p-plan#isPrecededBy	rdfs:isDefinedBy	Property that asserts which Step preceeds the current one. @en
WARN	annotation_whitespace	http://www.opmw.org/ontology/WorkflowTemplateProcess	rdfs:comment	"A workflow process template is an abstraction of the workflow execution process step that aims to describe the method followed by the scientist instead of its specific instantiation.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix water: <http://www.isi.edu/ac/Water/library.owl#> .

<http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_NTM_CALCULATEHOURLYAVERAGES>
      a opmw:ProcessTemplate, water:CalculateHourlyAverages;
      opmw:template <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_NTM>;
      opmw:uses <http://www.opmw.org/export/resource/DataVariable/AQUAFLOW_NTM_FILTEREDDATA>.
      @en"
WARN	annotation_whitespace	http://www.opmw.org/ontology/correspondsToTemplateProcess	rdfs:comment	"Property that binds a workflow execution process  to its correspondant process template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .

<http://www.opmw.org/export/resource/WorkflowExecutionProcess/REAERATIONEDM133549210450086>
     a opmv:Process, opmw:WorkflowExecutionProcess;
     opmw:correspondsToTemplateProcess <http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_REAERATIONEDM>. @en"
WARN	annotation_whitespace	http://www.opmw.org/ontology/hasDimensionality	rdfs:comment	"Property that represents the dimensionality of the artifact: 0 is a single file, 1 for a collection, etc.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/DataVariable/AQUAFLOW_NTM_DAILYDATA>
     a opmw:DataVariable, opmw:WorkflowTemplateArtifact;
     opmw:hasDimensionality \""1\""^^xsd:int.
@en"
WARN	annotation_whitespace	http://www.opmw.org/ontology/isGeneratedBy	rdfs:comment	"Property that binds a workflow template artifact to the workflow template process that generates it.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/DataVariable/AQUAFLOW_EDM_REAERATIONPARAMS>
     a opmw:DataVariable, opmw:WorkflowTemplateArtifact;
     opmw:isGeneratedBy <http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_REAERATIONEDM>.

@en"
WARN	annotation_whitespace	prov:Agent	prov:definition	An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity. @en
WARN	annotation_whitespace	prov:Entity	prov:definition	An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary. @en
WARN	annotation_whitespace	prov:EntityInfluence	prov:editorsDefinition	EntityInfluence is the capacity of an entity to have an effect on the character, development, or behavior of another by means of usage, start, end, derivation, or other. @en
WARN	annotation_whitespace	prov:actedOnBehalfOf	rdfs:comment	An object property to express the accountability of an agent towards another agent. The subordinate agent acted on behalf of the responsible agent in an actual activity. @en
WARN	annotation_whitespace	prov:category	rdfs:comment	Classify prov-o terms into three categories, including 'starting-point', 'qualifed', and 'extended'. This classification is used by the prov-o html document to gently introduce prov-o terms to its users. @en
WARN	annotation_whitespace	prov:wasInfluencedBy	prov:editorialNote	"The sub-properties of prov:wasInfluencedBy can be elaborated in more detail using the Qualification Pattern. For example, the binary relation :baking prov:used :spoon can be qualified by asserting :baking prov:qualifiedUsage [ a prov:Usage; prov:entity :spoon; prov:atLocation :kitchen ] .

Subproperties of prov:wasInfluencedBy may also be asserted directly without being qualified.

prov:wasInfluencedBy should not be used without also using one of its subproperties. 
@en"
WARN	missing_definition	http://purl.org/net/p-plan#Activity	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#Bundle	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#Entity	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#MultiStep	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#Plan	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#Step	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#Variable	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#correspondsToStep	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#correspondsToVariable	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#hasInputVar	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#hasOutputVar	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isDecomposedAsPlan	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isInputVarOf	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isOutputVarOf	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isPrecededBy	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isStepOfPlan	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isSubPlanOfPlan	IAO:0000115	
WARN	missing_definition	http://purl.org/net/p-plan#isVariableOfPlan	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/DataVariable	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/ParameterVariable	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/WorkflowExecutionAccount	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/WorkflowExecutionArtifact	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/WorkflowExecutionProcess	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/WorkflowTemplate	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/WorkflowTemplateArtifact	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/WorkflowTemplateProcess	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/correspondsToTemplate	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/correspondsToTemplateArtifact	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/correspondsToTemplateProcess	IAO:0000115	
WARN	missing_definition	http://www.opmw.org/ontology/createdInWorkflowSystem	IAO:0000115	
