LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Temporal Unit	TemporalUnit	Class	http://www.w3.org/2006/time#TemporalUnit			
issue solution by software agent	issueSolutionBySoftwareAgent	DatatypeProperty	https://w3id.org/pko#issueSolutionBySoftwareAgent			
is current version of	isCurrentVersionOf	ObjectProperty	https://w3id.org/pko#isCurrentVersionOf			
creator	creator	ObjectProperty	http://purl.org/dc/terms/creator			
Step	Step	Class	http://purl.org/net/p-plan#Step			
issue cause by software agent	issueCauseBySoftwareAgent	DatatypeProperty	https://w3id.org/pko#issueCauseBySoftwareAgent			
Cancelled	Cancelled	Individual	https://w3id.org/pko#Cancelled			
is version of	isVersionOf	ObjectProperty	http://www.w3.org/ns/dcat#isVersionOf			
hasProcedureTargetType	hasProcedureTargetType	Entity	https://w3id.org/pko#hasProcedureTargetType			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a ProcedureTarget to its Procedure Target Type.
relates to	relatesTo	ObjectProperty	http://purl.org/spar/pro/relatesTo			
Role	Role	Class	http://purl.org/spar/pro/Role			
executes step	executesStep	ObjectProperty	https://w3id.org/pko#executesStep			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step Execution to the Step that is being executed.
F A Q Category	FAQCategory	Class	https://w3id.org/pko#FAQCategory			This class represents the Category of a Frequently Asked Question (FAQ).
feedback on procedure execution	feedbackOnProcedureExecution	DatatypeProperty	https://w3id.org/pko#feedbackOnProcedureExecution			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the feedback on the procedure execution that was provided by an Agent during the Procedure or Step Execution.
User Question Occurrence	UserQuestionOccurrence	Class	https://w3id.org/pko#UserQuestionOccurrence			This class represents the occurrence of a question that an Agent came up with during the Procedure or Step Execution.
references	references	ObjectProperty	http://purl.org/dc/terms/references			
Media Type Or Extent	MediaTypeOrExtent	Class	http://purl.org/dc/terms/MediaTypeOrExtent			
requires function	requiresFunction	ObjectProperty	https://w3id.org/pko#requiresFunction			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step to a Function that needs to be performed by a Software Agent for executing the Step.
Frequently Asked Question	FrequentlyAskedQuestion	Class	https://w3id.org/pko#FrequentlyAskedQuestion			A Frequently Asked Question (FAQ) is a Resource representing a question that people often ask about a particular resource, and the answer to the question.
question	question	DatatypeProperty	https://w3id.org/pko#question			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the question of a Frequently Asked Question.
scopeNote	scopeNote	AnnotationProperty	http://www.w3.org/2004/02/skos/core#scopeNote			
name	name	AnnotationProperty	http://xmlns.com/foaf/0.1/name			
question by user	questionByUser	DatatypeProperty	https://w3id.org/pko#questionByUser			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the question that a user came up with during the Procedure/Step Execution (User Question Occurrence).
Thing	Thing	Class	http://www.w3.org/2002/07/owl#Thing			
Instantaneous Event	InstantaneousEvent	Class	http://www.w3.org/ns/prov#InstantaneousEvent			
contributor	contributor	AnnotationProperty	http://purl.org/dc/elements/1.1/contributor			
executes procedure	executesProcedure	ObjectProperty	https://w3id.org/pko#executesProcedure			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure Execution to the Procedure that is being executed.
is adopted by	isAdoptedBy	ObjectProperty	https://w3id.org/pko#isAdoptedBy			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure to an Organization which the Procedure is adopted by.
preferredNamespacePrefix	preferredNamespacePrefix	AnnotationProperty	http://purl.org/vocab/vann/preferredNamespacePrefix			
Procedure Type	ProcedureType	Class	https://w3id.org/pko#ProcedureType			This class represents the Type of a Procedure.
addresses error	addressesError	ObjectProperty	https://w3id.org/pko#addressesError			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a (Multi)Step of a Procedure to the Error it addresses. Such (Multi)Step represents a Fallback procedure.
is template	isTemplate	DatatypeProperty	https://w3id.org/pko#isTemplate			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent whether a Procedure is a Template or not. A Procedure is a Template if it is associated with a preset of Steps that can be used to define an Executable Procedure. Such steps are not directly executable in the form they are specified.
step number	stepNumber	DatatypeProperty	https://w3id.org/pko#stepNumber			
has procedure target	hasProcedureTarget	ObjectProperty	https://w3id.org/pko#hasProcedureTarget			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure to its Procedure Target(s), that is the object at which the actions of the Procedure are directed. A Procedure Target can be, for instance: a Machine, an Equipment, a Workstation.
Draft	Draft	Individual	https://w3id.org/pko#Draft			
0000-0001-5791-8427	0000-0001-5791-8427	Individual	https://orcid.org/0000-0001-5791-8427			
format	format	ObjectProperty	http://purl.org/dc/terms/format			
Completed	Completed	Individual	https://w3id.org/pko#Completed			
is step for expertise level	isStepForExpertiseLevel	ObjectProperty	https://w3id.org/pko#isStepForExpertiseLevel			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Step to the Expertise Level, meaning that the Step, or MultiStep, is targeted at persons with a certain level of expertise (e.g., junior, senior).
ended at time	endedAtTime	DatatypeProperty	http://www.w3.org/ns/prov#endedAtTime			
0000-0002-8235-7331	0000-0002-8235-7331	Individual	https://orcid.org/0000-0002-8235-7331			
notes by software agent	notesBySoftwareAgent	DatatypeProperty	https://w3id.org/pko#notesBySoftwareAgent			
has f a q category	hasFAQCategory	ObjectProperty	https://w3id.org/pko#hasFAQCategory			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Frequently Asked Question to a Category it belongs to.
Procedure Execution Status	ProcedureExecutionStatus	Class	https://w3id.org/pko#ProcedureExecutionStatus			This class represents the Status of the Procedure Execution (e.g., in progress, completed, paused, cancelled).
unit type	unitType	ObjectProperty	http://www.w3.org/2006/time#unitType			
title	title	AnnotationProperty	http://purl.org/dc/terms/title			
Period Of Time	PeriodOfTime	Class	http://purl.org/dc/terms/PeriodOfTime			
has fallback step	hasFallbackStep	ObjectProperty	https://w3id.org/pko#hasFallbackStep			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure to a (Multi)Step that represents a Fallback procedure for a specific Error that can be encountered during execution.
has f a q target	hasFAQTarget	ObjectProperty	https://w3id.org/pko#hasFAQTarget			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Frequently Asked Question to the Target of such FAQ.
notes by user	notesByUser	DatatypeProperty	https://w3id.org/pko#notesByUser			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the notes taken by the user about either a question that occurred during the Procedure/Step Execution (User Question Occurrence) or an issue that occurred during the Procedure/Step Execution (Issue Occurrence).
at time	atTime	DatatypeProperty	http://www.w3.org/ns/prov#atTime			
is question addressed by	isQuestionAddressedBy	ObjectProperty	https://w3id.org/pko#isQuestionAddressedBy			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a User Question Occurrence to a Resource that addresses/answers to the question that the user came up with during the Procedure/Step Execution.
error cause	errorCause	DatatypeProperty	https://w3id.org/pko#errorCause			In the context of the Procedural Knowledge Ontology (PKO), this property is used to represent the cause of an Error that can be encountered during the Procedure or Step Execution.
Function	Function	Class	https://w3id.org/pko#Function			This class represents a Function performed by a Software Agent.
was extracted from	wasExtractedFrom	ObjectProperty	https://w3id.org/pko#wasExtractedFrom			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Resource (e.g., a Procedure) to the Resource it was extracted from.
Action	Action	Class	https://w3id.org/pko#Action			This class represents an Action performed by a human Agent.
corresponds to variable	correspondsToVariable	ObjectProperty	http://purl.org/net/p-plan#correspondsToVariable			
has first step	hasFirstStep	ObjectProperty	https://w3id.org/pko#hasFirstStep			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link a Procedure or a MultiStep to its first Step.
Resource	Resource	Class	http://www.w3.org/ns/dcat#Resource			
has expected duration	hasExpectedDuration	ObjectProperty	https://w3id.org/pko#hasExpectedDuration			In the context of the Procedural Knowledge Ontology (PKO), this property is used to link the Occurrence of an Issue to the Error that is being encountered by the Agent executing a Procedure or Step.
versionIRI	versionIRI	AnnotationProperty	http://www.w3.org/2002/07/owl#versionIRI			
atLocation	atLocation	Entity	http://www.w3.org/ns/prov#atLocation			
