LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Montageprozess	MountingProcess	Class	https://w3id.org/pmd/co/MountingProcess			
Simulation Process	SimulationProcess	Class	https://w3id.org/pmd/co/SimulationProcess			
definition source	IAO_0000119	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119			
Extensometer-Dehnung	PercentageExtension	Class	https://w3id.org/pmd/co/PercentageExtension	(engineering) strain | technische Dehnung		
InitiatorRole	InitiatorRole	Class	https://w3id.org/pmd/co/InitiatorRole			
Mikroskopie	MicroscopyProcess	Class	https://w3id.org/pmd/co/MicroscopyProcess			
Heat Capacity	HeatCapacity	Class	https://w3id.org/pmd/co/HeatCapacity			
Elliptical	Elliptical	Class	https://w3id.org/pmd/co/Elliptical			
Herstellungsknoten	ManufacturingNode	Class	https://w3id.org/pmd/co/ManufacturingNode			
Nicht-transformativer Analyseprozess	NonTransformativeAnalysisProcess	Class	https://w3id.org/pmd/co/NonTransformativeAnalysisProcess			
Dimensionsmesswerkzeug	DimensionMeasuringDevice	Class	https://w3id.org/pmd/co/DimensionMeasuringDevice			
created	created	AnnotationProperty	http://purl.org/dc/terms/created			
Primary Data	PrimaryData	Class	https://w3id.org/pmd/co/PrimaryData			
Node Series	NodeSeries	Class	https://w3id.org/pmd/co/NodeSeries	Knotentyp | Node Type		
Weighted Y coordinate	WeightedYCoordinate	Class	https://w3id.org/pmd/co/WeightedYCoordinate			
Biologisch	Biological	Class	https://w3id.org/pmd/co/Biological			
input	input	ObjectProperty	https://w3id.org/pmd/co/input	has input		
Crystalline Structure	CrystallineStructure	Class	https://w3id.org/pmd/co/CrystallineStructure			
Mechanical Testing Process	MechanicalTestingProcess	Class	https://w3id.org/pmd/co/MechanicalTestingProcess			
Datensatz	Dataset	Class	https://w3id.org/pmd/co/Dataset			
Aging Temperature	AgingTemperature	Class	https://w3id.org/pmd/co/AgingTemperature			
Fragment Selector	FragmentSelector	Class	http://www.w3.org/ns/oa#FragmentSelector			
Kraft	Force	Class	https://w3id.org/pmd/co/Force			
Gewicht	Weight	Class	https://w3id.org/pmd/co/Weight			
constraints	constraints	AnnotationProperty	http://www.w3.org/ns/prov#constraints			
Herstellungsprozess	ManufacturingProcess	Class	https://w3id.org/pmd/co/ManufacturingProcess			
Simulationsknoten	SimulationNode	Class	https://w3id.org/pmd/co/SimulationNode			
hasIdentifier	hasIdentifier	ObjectProperty	http://purl.org/spar/datacite/hasIdentifier			
Abstand	Distance	Class	https://w3id.org/pmd/co/Distance			
p3	p3	Entity	https://w3id.org/pmd/co/p3			
Value Object	ValueObject	Class	https://w3id.org/pmd/co/ValueObject			
Markus Schilling	0000-0002-7094-5371	Entity	https://orcid.org/0000-0002-7094-5371			
example	example	AnnotationProperty	http://www.w3.org/2004/02/skos/core#example			
pending final vetting	IAO_0000125	Individual	http://purl.obolibrary.org/obo/IAO_0000125			
participant	participant	ObjectProperty	https://w3id.org/pmd/co/participant	has participant		
resource	resource	ObjectProperty	https://w3id.org/pmd/co/resource	has resource		
Calibration range	CalibrationRange	Class	https://w3id.org/pmd/co/CalibrationRange			
Aging Time	AgingTime	Class	https://w3id.org/pmd/co/AgingTime			
Computerknoten	ComputingNode	Class	https://w3id.org/pmd/co/ComputingNode			
Entity	Entity	Class	http://www.w3.org/ns/prov#Entity			
has curation status	IAO_0000114	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114			
characteristic of	characteristicOf	ObjectProperty	https://w3id.org/pmd/co/characteristicOf	is characteristic of		
Pixel Unit	PixelUnit	Individual	https://w3id.org/pmd/co/PixelUnit			
Pixel	Pixel	Class	https://w3id.org/pmd/co/Pixel			
Set Point	SetPoint	Class	https://w3id.org/pmd/co/SetPoint			
Role	Role	Class	http://www.w3.org/ns/prov#Role			
previous process	previousProcess	ObjectProperty	https://w3id.org/pmd/co/previousProcess	has previous process		
p1	p1	Entity	https://w3id.org/pmd/co/p1			
isRuleEnabled	isRuleEnabled	AnnotationProperty	http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled			
Stress	Stress	Class	https://w3id.org/pmd/co/Stress			
Measuring Device	MeasuringDevice	Class	https://w3id.org/pmd/co/MeasuringDevice			
Organization	Organization	Class	http://www.w3.org/ns/prov#Organization			
abbreviation	abbreviation	AnnotationProperty	https://w3id.org/pmd/co/abbreviation			
Länge	Length	Class	https://w3id.org/pmd/co/Length			
Volumen Anteil	VolumeFraction	Class	https://w3id.org/pmd/co/VolumeFraction			
metadata complete	IAO_0000120	Individual	http://purl.obolibrary.org/obo/IAO_0000120			
Acoustical	Acoustical	Class	https://w3id.org/pmd/co/Acoustical			
Data Acquisition Rate	DataAcquisitionRate	Class	https://w3id.org/pmd/co/DataAcquisitionRate			
Genauigkeit	Precision	Class	https://w3id.org/pmd/co/Precision			
min value	minValue	DatatypeProperty	https://w3id.org/pmd/co/minValue			
definition	definition	AnnotationProperty	http://www.w3.org/2004/02/skos/core#definition			
license	license	AnnotationProperty	http://purl.org/dc/terms/license			
Materialstruktur	MaterialStructure	Class	https://w3id.org/pmd/co/MaterialStructure			
to be replaced with external ontology term	IAO_0000423	Individual	http://purl.obolibrary.org/obo/IAO_0000423			
symbol	symbol	AnnotationProperty	https://w3id.org/pmd/co/symbol			
Knotenversion	NodeVersion	Class	https://w3id.org/pmd/co/NodeVersion			
uncurated	IAO_0000124	Individual	http://purl.obolibrary.org/obo/IAO_0000124			
Rectangular	Rectangular	Class	https://w3id.org/pmd/co/Rectangular			
Coating Designation	CoatingDesignation	Class	https://w3id.org/pmd/co/CoatingDesignation			
co	co	Entity	https://w3id.org/pmd/co			The PMD Core Ontology (PMDco) is a comprehensive framework for representing knowledge that encompasses fundamental concepts from the domains of materials science and engineering (MSE). The PMDco has been designed as a mid-level ontology to establish a connection between specific MSE application ontologies and the domain neutral concepts found in established top-level ontologies. The primary goal of the PMDco is to promote interoperability between diverse domains. PMDco's class structure is both understandable and extensible, making it an efficient tool for organizing MSE knowledge. It serves as a semantic intermediate layer that unifies MSE knowledge representations, enabling data and metadata to be systematically integrated on key terms within the MSE domain. With PMDco, it is possible to seamlessly trace data generation. The design of PMDco is based on the W3C Provenance Ontology (PROV-O), which provides a standard framework for capturing the generation, derivation, and attribution of resources. By building on this foundation, PMDco facilitates the integration of data from various sources and the creation of complex workflows. In summary, PMDco is a valuable tool for researchers and practitioners in the MSE domains. It provides a common language for representing and sharing knowledge, allowing for efficient collaboration and promoting interoperability between diverse domains. Its design allows for the systematic integration of data and metadata, enabling seamless traceability of data generation. Overall, PMDco is a crucial step towards a unified and comprehensive understanding of the MSE domain. PMDco at GitHub: https://github.com/materialdigital/core-ontology
Bemerkung	Note	Class	https://w3id.org/pmd/co/Note			
belongsToProject	belongsToProject	ObjectProperty	https://w3id.org/pmd/co/belongsToProject			
