LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
isDefinedBy	isDefinedBy	Entity	http://www.w3.org/2000/01/rdf-schema#isDefinedBy			
Step	Step	Class	http://purl.org/net/p-plan#Step			
definition	definition	AnnotationProperty	http://www.w3.org/ns/prov#definition			
Plan	Plan	Class	http://purl.org/net/p-plan#Plan			
isStepOfPlan	isStepOfPlan	ObjectProperty	http://purl.org/net/p-plan#isStepOfPlan			
label	label	Entity	http://www.w3.org/2000/01/rdf-schema#label			
Activity	Activity	Class	http://purl.org/net/p-plan#Activity			A p-plan:Activity represents the execution process planned in a p-plan:Step
isOutputVarOf	isOutputVarOf	ObjectProperty	http://purl.org/net/p-plan#isOutputVarOf			
comment	comment	Entity	http://www.w3.org/2000/01/rdf-schema#comment			
hasOutputVar	hasOutputVar	ObjectProperty	http://purl.org/net/p-plan#hasOutputVar			
		Entity	http://purl.org/net/p-plan#			
isPreceededBy	isPreceededBy	ObjectProperty	http://purl.org/net/p-plan#isPreceededBy			http://purl.org/net/p-plan#
correspondsToStep	correspondsToStep	ObjectProperty	http://purl.org/net/p-plan#correspondsToStep			
isInputVarOf	isInputVarOf	ObjectProperty	http://purl.org/net/p-plan#isInputVarOf			
hasInputVar	hasInputVar	ObjectProperty	http://purl.org/net/p-plan#hasInputVar			
PlainLiteral	PlainLiteral	Entity	http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral			
