LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
co	co	Entity	https://w3id.org/pmd/co			
comment	comment	Entity	http://www.w3.org/2000/01/rdf-schema#comment			
belongsToProject	belongsToProject	ObjectProperty	https://w3id.org/pmd/co/belongsToProject			
IAO_0000119	IAO_0000119	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119			
organizational term	IAO_0000121	Entity	http://purl.obolibrary.org/obo/IAO_0000121			
altLabel	altLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#altLabel			
example to be eventually removed	IAO_0000002	Entity	http://purl.obolibrary.org/obo/IAO_0000002			
boolean	boolean	Entity	http://www.w3.org/2001/XMLSchema#boolean			
IAO_0000114	IAO_0000114	Entity	http://purl.obolibrary.org/obo/IAO_0000114			
characteristic of	characteristicOf	ObjectProperty	https://w3id.org/pmd/co/characteristicOf	is characteristic of		
IAO_0000115	IAO_0000115	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115			
requires discussion	IAO_0000428	Entity	http://purl.obolibrary.org/obo/IAO_0000428			
output	output	ObjectProperty	https://w3id.org/pmd/co/output	has output		
metadata incomplete	IAO_0000123	Entity	http://purl.obolibrary.org/obo/IAO_0000123			
process	process	ObjectProperty	https://w3id.org/pmd/co/process	has process		
IAO_0000111	IAO_0000111	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000111			
output of	outputOf	ObjectProperty	https://w3id.org/pmd/co/outputOf	is output of		
definitionSource	definitionSource	Entity	https://w3id.org/pmd/co/definitionSource			
participant of	participantOf	ObjectProperty	https://w3id.org/pmd/co/participantOf	is participant of		
Projektidentifikator	ProjectIdentifier	Class	https://w3id.org/pmd/co/ProjectIdentifier			
characteristic	characteristic	ObjectProperty	https://w3id.org/pmd/co/characteristic	has characteristic		
input of	inputOf	ObjectProperty	https://w3id.org/pmd/co/inputOf	is input of		
input	input	ObjectProperty	https://w3id.org/pmd/co/input	has input		
isRuleEnabled	isRuleEnabled	AnnotationProperty	http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled			
Identifier	Identifier	Class	https://w3id.org/pmd/co/Identifier			
string	string	Entity	http://www.w3.org/2001/XMLSchema#string			
wasDerivedFrom	wasDerivedFrom	ObjectProperty	http://www.w3.org/ns/prov#wasDerivedFrom			
value	value	DatatypeProperty	https://w3id.org/pmd/co/value			
metadata complete	IAO_0000120	Entity	http://purl.obolibrary.org/obo/IAO_0000120			
PlainLiteral	PlainLiteral	Entity	http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral			
definition	definition	AnnotationProperty	http://www.w3.org/2004/02/skos/core#definition			
ready for release	IAO_0000122	Entity	http://purl.obolibrary.org/obo/IAO_0000122			
IAO_0000117	IAO_0000117	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000117			
to be replaced with external ontology term	IAO_0000423	Entity	http://purl.obolibrary.org/obo/IAO_0000423			
example	example	Entity	http://www.w3.org/2004/02/skos/core#example			
uncurated	IAO_0000124	Entity	http://purl.obolibrary.org/obo/IAO_0000124			
isDefinedBy	isDefinedBy	Entity	http://www.w3.org/2000/01/rdf-schema#isDefinedBy			
Projekt	Project	Class	https://w3id.org/pmd/co/Project			
participant	participant	ObjectProperty	https://w3id.org/pmd/co/participant	has participant		
pending final vetting	IAO_0000125	Entity	http://purl.obolibrary.org/obo/IAO_0000125			
label	label	Entity	http://www.w3.org/2000/01/rdf-schema#label			
