LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Instance	Instance	Class	http://purl.org/wild/vocab#Instance			
SequentialActivity	SequentialActivity	Class	http://purl.org/wild/vocab#SequentialActivity			
AtomicActivity	AtomicActivity	Class	http://purl.org/wild/vocab#AtomicActivity			
hasChildActivity	hasChildActivity	ObjectProperty	http://purl.org/wild/vocab#hasChildActivity			
containsActivity	containsActivity	ObjectProperty	http://purl.org/wild/vocab#containsActivity			
done	done	Individual	http://purl.org/wild/vocab#done			
hasAtomicActivity	hasAtomicActivity	ObjectProperty	http://purl.org/wild/vocab#hasAtomicActivity			
Request	Request	Class	http://www.w3.org/2011/http#Request			
uninitialised	uninitialised	Individual	http://purl.org/wild/vocab#uninitialised			
CompositeActivity	CompositeActivity	Class	http://purl.org/wild/vocab#CompositeActivity			
instanceOf	instanceOf	AnnotationProperty	http://purl.org/wild/vocab#instanceOf			
Property	Property	Class	http://www.w3.org/2000/01/rdf-schema#Property			
paused	paused	Individual	http://purl.org/wild/vocab#paused			
hasBehaviour	hasBehaviour	ObjectProperty	http://purl.org/wild/vocab#hasBehaviour			
hasPrecondition	hasPrecondition	ObjectProperty	http://purl.org/wild/vocab#hasPrecondition			
endDate	endDate	DatatypeProperty	http://schema.org/endDate			
hasDescendantActivity	hasDescendantActivity	ObjectProperty	http://purl.org/wild/vocab#hasDescendantActivity			
workflowInstanceOf	workflowInstanceOf	AnnotationProperty	http://purl.org/wild/vocab#workflowInstanceOf			
hasPostcondition	hasPostcondition	ObjectProperty	http://purl.org/wild/vocab#hasPostcondition			
hasHttpRequest	hasHttpRequest	ObjectProperty	http://purl.org/wild/vocab#hasHttpRequest			
doneFromListItemOne	doneFromListItemOne	Individual	http://purl.org/wild/vocab#doneFromListItemOne			
Tobias Käfer	Tobias_K-C3-A4fer	Entity	http://www.aifb.kit.edu/id/Tobias_K-C3-A4fer			
WorkflowInstance	WorkflowInstance	Class	http://purl.org/wild/vocab#WorkflowInstance			
WorkflowModel	WorkflowModel	Class	http://purl.org/wild/vocab#WorkflowModel			
Activity	Activity	Class	http://purl.org/wild/vocab#Activity			
maker	maker	AnnotationProperty	http://xmlns.com/foaf/0.1/maker			
initialised	initialised	Individual	http://purl.org/wild/vocab#initialised			
ListMembershipProperty	ListMembershipProperty	Class	http://purl.org/list/vocab#ListMembershipProperty			
initialisedFromListItemOne	initialisedFromListItemOne	Individual	http://purl.org/wild/vocab#initialisedFromListItemOne			
skipped	skipped	Individual	http://purl.org/wild/vocab#skipped			
activityInstanceOf	activityInstanceOf	AnnotationProperty	http://purl.org/wild/vocab#activityInstanceOf			
InstanceState	InstanceState	Class	http://purl.org/wild/vocab#InstanceState			
hasState	hasState	ObjectProperty	http://purl.org/wild/vocab#hasState			
ActiveOrInitialisedInstanceState	ActiveOrInitialisedInstanceState	Class	http://purl.org/wild/vocab#ActiveOrInitialisedInstanceState			
inWorkflowInstance	inWorkflowInstance	ObjectProperty	http://purl.org/wild/vocab#inWorkflowInstance			
ParallelActivity	ParallelActivity	Class	http://purl.org/wild/vocab#ParallelActivity			
ConditionalActivity	ConditionalActivity	Class	http://purl.org/wild/vocab#ConditionalActivity			
List	List	Class	http://www.w3.org/1999/02/22-rdf-syntax-ns#List			
hasChildActivities	hasChildActivities	ObjectProperty	http://purl.org/wild/vocab#hasChildActivities			
WiLD ontology	vocab	Entity	http://purl.org/wild/vocab			Ontology to describe Workflows in Linked Data
VirtualInstanceState	VirtualInstanceState	Class	http://purl.org/wild/vocab#VirtualInstanceState			
accompanying	accompanying	AnnotationProperty	http://purl.org/list/vocab#accompanying			
active	active	Individual	http://purl.org/wild/vocab#active			
Ask	Ask	Class	http://spinrdf.org/sp#Ask			
State	State	Class	http://purl.org/wild/vocab#State			
ActivityInstance	ActivityInstance	Class	http://purl.org/wild/vocab#ActivityInstance			
