LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Arbeitsschritt	ProcessingStep	Class	http://w3id.org/nfdi4ing/metadata4ing#ProcessingStep			
had role	hadRole	ObjectProperty	http://www.w3.org/ns/prov#hadRole			
realized in	BFO_0000054	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054			Paraphrase of elucidation: a relation between a realizable entity and a process, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
broader	broader	AnnotationProperty	http://www.w3.org/2004/02/skos/core#broader			
has standard uncertainty	hasStandardUnc	DatatypeProperty	https://ptb.de/si/hasStandardUnc			
contact person	ContactPerson	Individual	http://w3id.org/nfdi4ing/metadata4ing#ContactPerson			
erweiterte Unsicherheit	ExpandedUnc	Class	https://ptb.de/si/ExpandedUnc			
bibliografischer Eintrag	BibliographicRecord	Class	http://purl.org/spar/biro/BibliographicRecord			A record that uniquely describes a particular textual or data publication (or a work in preparation for publication). Each bibliographic record is a set of entities describing aspects of the referenced work, including, for example, but not restricted to: authors, title, journal, publication year, DOI, ISSN, publisher and copyright information, or, in the case of a data publication: creators, title, version, archive, publication year, DOI or other identifier). The FRBR expression of a bibliographic record is a bibliographic reference, which usually contains only a sub-set of these entities, ordered in a particular way that corresponds to the house style of the publication in which it occurs.
has distribution	hasDistribution	DatatypeProperty	https://ptb.de/si/hasDistribution			
hasAdmissibleUnit	hasAdmissibleUnit	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasAdmissibleUnit			
has ORCID ID	orcidId	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#orcidId			
Project	Project	Class	https://schema.org/Project			An enterprise (potentially individual but typically collaborative), planned to achieve a particular aim
agent	agent	ObjectProperty	http://www.w3.org/ns/prov#agent			
has variable description	hasVariableDescription	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasVariableDescription			
hat Datumszuweisung gültig bis	hasDateAssignmentValidUntil	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentValidUntil			
Vorname	firstName	DatatypeProperty	http://xmlns.com/foaf/0.1/firstName			The first name of a person.
DateTime	DateTime	Entity	https://schema.org/DateTime			
has expanded uncertainty	hasExpandedUnc	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasExpandedUnc			
realizable entity	BFO_0000017	Class	http://purl.obolibrary.org/obo/BFO_0000017			
Role	Role	Class	http://www.w3.org/ns/prov#Role			
altLabel	altLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#altLabel			
gehört zu Projekt	inProject	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#inProject			
has coverage probability	hasCoverageProbability	DatatypeProperty	https://ptb.de/si/hasCoverageProbability			
last name	lastName	DatatypeProperty	http://xmlns.com/foaf/0.1/lastName			The last name of a person.
issued	issued	AnnotationProperty	http://purl.org/dc/terms/issued			
status	status	AnnotationProperty	http://purl.org/ontology/bibo/status			
ist Wert in Zuweisung	isValueInAssignment	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isValueInAssignment			
Packformat	packageFormat	ObjectProperty	http://www.w3.org/ns/dcat#packageFormat			
ist Voraussetzung für Schritt	BFO_0000063	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000063			
project start date	startOfProject	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#startOfProject			
Verteilung	Distribution	Class	http://www.w3.org/ns/dcat#Distribution			
untersucht	investigates	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#investigates			
creator	creator	AnnotationProperty	http://purl.org/dc/terms/creator			
Gruppe	Group	Class	http://xmlns.com/foaf/0.1/Group			A class of Agents.
Person	Person	Class	http://xmlns.com/foaf/0.1/Person			A person.
coverage interval	CoverageInterval	Class	https://ptb.de/si/CoverageInterval			
