LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
inWorkflowInstance	inWorkflowInstance	ObjectProperty	http://purl.org/wild/vocab#inWorkflowInstance			
activityInstanceOf	activityInstanceOf	ObjectProperty	http://purl.org/wild/vocab#activityInstanceOf			
WorkflowInstance	WorkflowInstance	Class	http://purl.org/wild/vocab#WorkflowInstance			
ActivityInstance	ActivityInstance	Class	http://purl.org/wild/vocab#ActivityInstance			
vocab	vocab	Entity	http://purl.org/wild/vocab			
VirtualInstanceState	VirtualInstanceState	Class	http://purl.org/wild/vocab#VirtualInstanceState			
workflowInstanceOf	workflowInstanceOf	ObjectProperty	http://purl.org/wild/vocab#workflowInstanceOf			
State	State	Class	http://purl.org/wild/vocab#State			
hasState	hasState	ObjectProperty	http://purl.org/wild/vocab#hasState			
ActiveOrInitialisedInstanceState	ActiveOrInitialisedInstanceState	Class	http://purl.org/wild/vocab#ActiveOrInitialisedInstanceState			
