IRI,LABEL,LOCAL,TYPE,SOURCE,LINK,ALT_LABELS,SYNONYMS,COMMENT
https://orcid.org/0000-0001-5791-8427,0000-0001-5791-8427,0000-0001-5791-8427,Individual,Ontology : pko,ontologies/pko/,,,
https://orcid.org/0000-0001-9962-7193,0000-0001-9962-7193,0000-0001-9962-7193,Individual,Ontology : pko,ontologies/pko/,,,
https://orcid.org/0000-0002-8235-7331,0000-0002-8235-7331,0000-0002-8235-7331,Individual,Ontology : pko,ontologies/pko/,,,
https://orcid.org/0000-0002-9066-1229,0000-0002-9066-1229,0000-0002-9066-1229,Individual,Ontology : pko,ontologies/pko/,,,
https://orcid.org/0000-0003-1427-3723,0000-0003-1427-3723,0000-0003-1427-3723,Individual,Ontology : pko,ontologies/pko/,,,
https://ror.org/046bfkz44,046bfkz44,046bfkz44,Individual,Ontology : pko,ontologies/pko/,,,
http://purl.obolibrary.org/obo/STATO_0000281,1 % false positive rate,STATO_0000281,Entity,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000138,2 by 2 contingency table,STATO_0000138,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000185,2 by n contingency table,STATO_0000185,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000408,2 step Fagan nomogram,STATO_0000408,Class,Ontology : stato,ontologies/stato/,,,
https://w3id.org/pmd/co/2DPixelCoordinates,2D Pixel Koordinaten,2DPixelCoordinates,Class,Ontology : pmdcore,ontologies/pmdcore/,,,
http://purl.obolibrary.org/obo/OBI_0500015,2x2 factorial design,OBI_0500015,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000043,5 % false positive rate,STATO_0000043,Entity,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000214,50% confidence interval,STATO_0000214,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000021,90% confidence interval,STATO_0000021,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000231,95% confidence interval,STATO_0000231,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000456,95% credible interval,STATO_0000456,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000127,99% confidence interval,STATO_0000127,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000458,99% credible interval,STATO_0000458,Class,Ontology : stato,ontologies/stato/,,,
https://w3id.org/pmd/co/abbreviation,abbreviation,abbreviation,AnnotationProperty,Ontology : pmdcore,ontologies/pmdcore/,,,
http://purl.obolibrary.org/obo/IAO_0000605,abbreviation textual entity,IAO_0000605,Class,Ontology : mwo,ontologies/mwo/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Abrading,Abrading,Abrading,Class,Ontology : BWMD,ontologies/BWMD/,,,
https://orcid.org/0000-0001-7564-7990,Abril Azócar Guzmán,0000-0001-7564-7990,Entity,Ontology : mwo,ontologies/mwo/,,,
http://purl.obolibrary.org/obo/STATO_0000056,absence of association hypothesis,STATO_0000056,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000061,absence of between group difference hypothesis,STATO_0000061,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000297,absence of depletion hypothesis,STATO_0000297,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000288,absence of difference hypothesis,STATO_0000288,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000296,absence of enrichment hypothesis,STATO_0000296,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000294,absence of negative difference hypothesis,STATO_0000294,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000295,absence of positive difference hypothesis,STATO_0000295,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000062,absence of within subject difference hypothesis,STATO_0000062,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000614,absolute difference,STATO_0000614,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000668,absolute value,STATO_0000668,Class,Ontology : stato,ontologies/stato/,,,
http://emmo.info/emmo#EMMO_8e5dd473_808b_4a8a_b7cd_63068c12ff57,AbsorbedDose,EMMO_8e5dd473_808b_4a8a_b7cd_63068c12ff57,Class,Ontology : GPO,ontologies/GPO/,,,
http://emmo.info/emmo#EMMO_847f1d9f_205e_46c1_8cb6_a9e479421f88,AbsorbedDoseDimension,EMMO_847f1d9f_205e_46c1_8cb6_a9e479421f88,Class,Ontology : GPO,ontologies/GPO/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Abstract,Abstract,Abstract,Class,Ontology : BWMD,ontologies/BWMD/,,,
http://purl.org/dc/terms/abstract,abstract,abstract,AnnotationProperty,Ontology : GPO,ontologies/GPO/,,,
http://purl.org/dc/terms/abstract,abstract,abstract,AnnotationProperty,Ontology : m4i,ontologies/m4i/,,,
https://w3id.org/pmd/co/Department,Abteilung,Department,Class,Ontology : pmdcore,ontologies/pmdcore/,,,
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000100,academic discipline,NFDI_0000100,Class,Ontology : mwo,ontologies/mwo/,,,"An information content entity that specifies the subject area, domain or academic discipline of an entity. An academic discipline, a research field or domain of an entity, e.g. a domain of a data portal or a field of study of a person."
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018,academic event,NFDI_0000018,Class,Ontology : mwo,ontologies/mwo/,,,"An event that focuses on scholarly activities and the exchange of knowledge, typically involving presentations, discussions, or collaborations among researchers, academics, and students, often in the context of conferences, workshops, seminars, symposia, or colloquia, to advance a specific field of study or interdisciplinary research."
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000019,academic organization role,NFDI_0000019,Class,Ontology : mwo,ontologies/mwo/,,,"A role inherent in an organization that is realized when coordinating, managing, or supporting academic activities, programs, or research to promote education and knowledge advancement."
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001040,academic title,NFDI_0001040,Class,Ontology : mwo,ontologies/mwo/,,,"An academic title is an identifier that denotes an individual’s academic rank, qualification, or honorary designation within educational and research institutions."
http://emmo.info/emmo#EMMO_e37ac288_aa60_415a_8cb7_c375724ac8e1,Acceleration,EMMO_e37ac288_aa60_415a_8cb7_c375724ac8e1,Class,Ontology : GPO,ontologies/GPO/,,,Derivative of velocity with respect to time.
http://emmo.info/emmo#EMMO_2da7408f_d389_4245_887d_a1743b81a9b6,AccelerationDimension,EMMO_2da7408f_d389_4245_887d_a1743b81a9b6,Class,Ontology : GPO,ontologies/GPO/,,,
http://www.w3.org/ns/dcat#accessURL,access u r l,accessURL,DatatypeProperty,Ontology : pko,ontologies/pko/,,,
http://purl.org/list/vocab#accompanying,accompanying,accompanying,AnnotationProperty,Ontology : WILD,ontologies/WILD/,,,
http://purl.org/list/vocab#accompanying,accompanying,accompanying,AnnotationProperty,Pattern : WILD / requirement1 / WILD_STAR_none,patterns/WILD/requirement1/WILD_STAR_none/,,,
http://openprovenance.org/model/opmo#Account,Account,Account,Class,Ontology : opmw,ontologies/opmw/,,,
http://purl.obolibrary.org/obo/STATO_0000415,accuracy,STATO_0000415,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/OBI_0000417,achieves_planned_objective,OBI_0000417,ObjectProperty,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/OBI_0000417,achieves_planned_objective,OBI_0000417,ObjectProperty,Pattern : stato / requirement2 / stato_STAR_none,patterns/stato/requirement2/stato_STAR_none/,,,
http://emmo.info/emmo#EMMO_50b91f00_d1b3_4638_ab1e_8f982a37621a,AcousticQuantity,EMMO_50b91f00_d1b3_4638_ab1e_8f982a37621a,Class,Ontology : GPO,ontologies/GPO/,,,
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001021,act of dissolution,NFDI_0001021,Class,Ontology : mwo,ontologies/mwo/,,,"The act of dissolution refers to a formal legal or administrative event that officially terminates or dissolves an entity, relationship, or agreement."
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001020,act of foundation,NFDI_0001020,Class,Ontology : mwo,ontologies/mwo/,,,"The act of foundation refers to the formal establishment or creation of an institution, organization, or entity, typically through a legal, administrative, or ceremonial process."
http://www.w3.org/ns/prov#actedOnBehalfOf,actedOnBehalfOf,actedOnBehalfOf,ObjectProperty,Ontology : opmw,ontologies/opmw/,,,An object property to express the accountability of an agent towards another agent. The subordinate agent acted on behalf of the responsible agent in an actual activity. 
http://emmo.info/emmo/domain/periodic-table#EMMO_380f1ba6-b4f3-51e2-a63f-ceeeca2ed2f4,ActiniumAtom,EMMO_380f1ba6-b4f3-51e2-a63f-ceeeca2ed2f4,Class,Ontology : GPO,ontologies/GPO/,,,
http://emmo.info/emmo/domain/periodic-table#EMMO_3bf0809d-2f7c-5282-b7fd-2e5486f6dbd3,ActiniumSymbol,EMMO_3bf0809d-2f7c-5282-b7fd-2e5486f6dbd3,Class,Ontology : GPO,ontologies/GPO/,,,
https://w3id.org/pko#Action,Action,Action,Class,Ontology : pko,ontologies/pko/,,,This class represents an Action performed by a human Agent.
http://purl.obolibrary.org/obo/IAO_0000007,action specification,IAO_0000007,Class,Ontology : mwo,ontologies/mwo/,,,
http://purl.obolibrary.org/obo/IAO_0000007,action specification,IAO_0000007,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/IAO_0000007,action specification,IAO_0000007,Class,Pattern : stato / requirement1 / stato_STAR_none,patterns/stato/requirement1/stato_STAR_none/,,,
http://purl.org/wild/vocab#active,active,active,Individual,Ontology : WILD,ontologies/WILD/,,,
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001070,active status,NFDI_0001070,Individual,Ontology : mwo,ontologies/mwo/,,,"Active Status is a status specification that indicates an entity, process, or project is currently operational, ongoing, or in execution."
http://purl.org/wild/vocab#ActiveOrInitialisedInstanceState,ActiveOrInitialisedInstanceState,ActiveOrInitialisedInstanceState,Class,Ontology : WILD,ontologies/WILD/,,,
http://purl.org/wild/vocab#ActiveOrInitialisedInstanceState,ActiveOrInitialisedInstanceState,ActiveOrInitialisedInstanceState,Class,Pattern : WILD / requirement2 / WILD_STAR_none,patterns/WILD/requirement2/WILD_STAR_none/,,,
https://www.irit.fr/recherches/MELODI/ontologies/BBO#Activity,Activity,Activity,Class,Ontology : BBO,ontologies/BBO/,,,"Work that a company or organization performs using business processes. An activity can be atomic or non-atomic (compound). The types of activities that are a part of a Process Model are: Process, Sub-Process, and Task."
